                   Degree          P_inst_total[W]  P_inst_total_no_loss[W]              P_f_loss[W]            P_thr_loss[W]          P_inertia_ro[W]          P_inertia_vh[W]                 P_com[W]              P_bear_s[W]
                  22.6800             7.290389E+01            -1.540827E+01             8.831216E+01             0.000000E+00            -2.098774E+01            -6.217879E-02             5.641651E+00             1.114568E+01
                  22.8600             7.290205E+01            -1.547878E+01             8.838083E+01             0.000000E+00            -2.110112E+01            -6.249988E-02             5.684847E+00             1.114816E+01
                  23.0400             7.290385E+01            -1.554814E+01             8.845199E+01             0.000000E+00            -2.121335E+01            -6.281731E-02             5.728034E+00             1.115318E+01
                  23.2200             7.290902E+01            -1.561635E+01             8.852538E+01             0.000000E+00            -2.132443E+01            -6.313105E-02             5.771210E+00             1.116049E+01
                  23.4000             7.291721E+01            -1.568342E+01             8.860063E+01             0.000000E+00            -2.143435E+01            -6.344110E-02             5.814372E+00             1.116973E+01
                  23.5800             7.292800E+01            -1.574934E+01             8.867734E+01             0.000000E+00            -2.154311E+01            -6.374744E-02             5.857518E+00             1.118046E+01
                  23.7600             7.294092E+01            -1.581410E+01             8.875501E+01             0.000000E+00            -2.165069E+01            -6.405006E-02             5.900644E+00             1.119221E+01
                  23.9400             7.295547E+01            -1.587771E+01             8.883318E+01             0.000000E+00            -2.175711E+01            -6.434895E-02             5.943749E+00             1.120450E+01
                  24.1200             7.297118E+01            -1.594016E+01             8.891134E+01             0.000000E+00            -2.186234E+01            -6.464409E-02             5.986829E+00             1.121683E+01
                  24.3000             7.298758E+01            -1.600145E+01             8.898903E+01             0.000000E+00            -2.196640E+01            -6.493548E-02             6.029881E+00             1.122873E+01
                  24.4800             7.300426E+01            -1.606158E+01             8.906584E+01             0.000000E+00            -2.206926E+01            -6.522311E-02             6.072903E+00             1.123979E+01
                  24.6600             7.302085E+01            -1.612055E+01             8.914140E+01             0.000000E+00            -2.217094E+01            -6.550695E-02             6.115892E+00             1.124965E+01
                  24.8400             7.303706E+01            -1.617836E+01             8.921542E+01             0.000000E+00            -2.227142E+01            -6.578701E-02             6.158846E+00             1.125800E+01
                  25.0200             7.305267E+01            -1.623500E+01             8.928767E+01             0.000000E+00            -2.237070E+01            -6.606326E-02             6.201761E+00             1.126463E+01
                  25.2000             7.306753E+01            -1.629048E+01             8.935801E+01             0.000000E+00            -2.246878E+01            -6.633571E-02             6.244635E+00             1.126937E+01
                  25.3800             7.308156E+01            -1.634479E+01             8.942635E+01             0.000000E+00            -2.256565E+01            -6.660434E-02             6.287466E+00             1.127217E+01
                  25.5600             7.309477E+01            -1.639793E+01             8.949270E+01             0.000000E+00            -2.266131E+01            -6.686914E-02             6.330250E+00             1.127301E+01
                  25.7400             7.310721E+01            -1.644990E+01             8.955711E+01             0.000000E+00            -2.275576E+01            -6.713010E-02             6.372985E+00             1.127195E+01
                  25.9200             7.311900E+01            -1.650070E+01             8.961970E+01             0.000000E+00            -2.284899E+01            -6.738722E-02             6.415669E+00             1.126911E+01
                  26.1000             7.313028E+01            -1.655033E+01             8.968061E+01             0.000000E+00            -2.294099E+01            -6.764047E-02             6.458299E+00             1.126463E+01
                  26.2800             7.314126E+01            -1.659879E+01             8.974005E+01             0.000000E+00            -2.303177E+01            -6.788987E-02             6.500873E+00             1.125872E+01
                  26.4600             7.315215E+01            -1.664607E+01             8.979822E+01             0.000000E+00            -2.312132E+01            -6.813539E-02             6.543388E+00             1.125159E+01
                  26.6400             7.316318E+01            -1.669218E+01             8.985536E+01             0.000000E+00            -2.320964E+01            -6.837703E-02             6.585842E+00             1.124347E+01
                  26.8200             7.317460E+01            -1.673711E+01             8.991171E+01             0.000000E+00            -2.329673E+01            -6.861479E-02             6.628232E+00             1.123461E+01
