                   Degree              Press.Ratio   Mass_leak_rad_ro[kg/s]      Mass_leak_vef[kg/s]       Mass_leak_vs[kg/s]      Mass_leak_ref[kg/s]    Mass_leak_total[kg/s]
                  15.4800             1.065810E+00             6.092006E-08             1.035166E-05             0.000000E+00             6.075129E-07             1.102009E-05
                  15.6600             1.065043E+00             6.083982E-08             1.034175E-05             0.000000E+00             5.957214E-07             1.099831E-05
                  15.8400             1.064262E+00             6.075795E-08             1.033165E-05             0.000000E+00             5.831321E-07             1.097554E-05
                  16.0200             1.063470E+00             6.067448E-08             1.031843E-05             0.000000E+00             5.697496E-07             1.094885E-05
                  16.2000             1.062665E+00             6.012081E-08             1.030797E-05             0.000000E+00             5.555793E-07             1.092367E-05
                  16.3800             1.061850E+00             6.003218E-08             1.029438E-05             0.000000E+00             5.406282E-07             1.089505E-05
                  16.5600             1.061024E+00             5.994215E-08             1.028063E-05             0.000000E+00             5.249046E-07             1.086548E-05
                  16.7400             1.060190E+00             5.985079E-08             1.026671E-05             0.000000E+00             5.084180E-07             1.083498E-05
                  16.9200             1.059347E+00             5.975816E-08             1.025263E-05             0.000000E+00             4.911796E-07             1.080357E-05
                  17.1000             1.058496E+00             5.966437E-08             1.023840E-05             0.000000E+00             4.732012E-07             1.077126E-05
                  17.2800             1.057639E+00             5.910419E-08             1.022401E-05             0.000000E+00             4.544962E-07             1.073761E-05
                  17.4600             1.056776E+00             5.900593E-08             1.020949E-05             0.000000E+00             4.350790E-07             1.070357E-05
                  17.6400             1.055908E+00             5.890672E-08             1.019482E-05             0.000000E+00             4.149650E-07             1.066870E-05
                  17.8200             1.055035E+00             5.880665E-08             1.017711E-05             0.000000E+00             3.941710E-07             1.063009E-05
                  18.0000             1.054159E+00             5.870580E-08             1.016220E-05             0.000000E+00             3.727143E-07             1.059362E-05
                  18.1800             1.053280E+00             5.814341E-08             1.014718E-05             0.000000E+00             3.506131E-07             1.055594E-05
                  18.3600             1.052400E+00             5.803884E-08             1.012913E-05             0.000000E+00             3.278868E-07             1.051506E-05
                  18.5400             1.051519E+00             5.793375E-08             1.011099E-05             0.000000E+00             3.045556E-07             1.047348E-05
                  18.7200             1.050637E+00             5.782823E-08             1.009570E-05             0.000000E+00             2.806399E-07             1.043416E-05
                  18.9000             1.049756E+00             5.772235E-08             1.007740E-05             0.000000E+00             2.561611E-07             1.039128E-05
                  19.0800             1.048876E+00             5.715896E-08             1.005904E-05             0.000000E+00             2.311412E-07             1.034734E-05
                  19.2600             1.047998E+00             5.705021E-08             1.004063E-05             0.000000E+00             2.056023E-07             1.030329E-05
                  19.4400             1.047123E+00             5.694137E-08             1.002218E-05             0.000000E+00             1.795674E-07             1.025869E-05
                  19.6200             1.046251E+00             5.683253E-08             1.000661E-05             0.000000E+00             1.530597E-07             1.021650E-05
                  19.8000             1.045383E+00             5.672377E-08             9.988099E-06             0.000000E+00             1.261024E-07             1.017093E-05
                  19.9800             1.044519E+00             5.616095E-08             9.969577E-06             0.000000E+00             9.871933E-08             1.012446E-05
                  20.1600             1.043661E+00             5.605019E-08             9.951054E-06             0.000000E+00             7.093416E-08             1.007804E-05
                  20.3400             1.042809E+00             5.593977E-08             9.932540E-06             0.000000E+00             4.277077E-08             1.003125E-05
                  20.5200             1.041964E+00             5.582976E-08             9.914045E-06             0.000000E+00             1.425301E-08             9.984128E-06
