                   Degree                   P1[Pa]                   P2[Pa]                   P3[Pa]                   P4[Pa]                   P5[Pa]                   P6[Pa]                   P7[Pa]                   P8[Pa]                   P9[Pa]                  P3a[Pa]
                   8.4600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269077E+05             2.245178E+05             4.437562E+05
                   8.6400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269092E+05             2.245193E+05             4.437591E+05
                   8.8200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269107E+05             2.245208E+05             4.437619E+05
                   9.0000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269122E+05             2.245223E+05             4.437647E+05
                   9.1800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269137E+05             2.245238E+05             4.437675E+05
                   9.3600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269151E+05             2.245252E+05             4.437702E+05
                   9.5400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269166E+05             2.245267E+05             4.437729E+05
                   9.7200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269180E+05             2.245281E+05             4.437755E+05
                   9.9000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269194E+05             2.245295E+05             4.437782E+05
                  10.0800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269208E+05             2.245309E+05             4.437807E+05
                  10.2600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269221E+05             2.245322E+05             4.437833E+05
                  10.4400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269234E+05             2.245335E+05             4.437857E+05
                  10.6200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269247E+05             2.245348E+05             4.437882E+05
                  10.8000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269260E+05             2.245361E+05             4.437906E+05
                  10.9800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269272E+05             2.245373E+05             4.437929E+05
                  11.1600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269285E+05             2.245385E+05             4.437951E+05
                  11.3400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269296E+05             2.245397E+05             4.437973E+05
                  11.5200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269308E+05             2.245409E+05             4.437994E+05
                  11.7000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269319E+05             2.245420E+05             4.438015E+05
                  11.8800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269329E+05             2.245430E+05             4.438035E+05
                  12.0600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269340E+05             2.245441E+05             4.438054E+05
                  12.2400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269350E+05             2.245450E+05             4.438073E+05
                  12.4200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269359E+05             2.245460E+05             4.438090E+05
                  12.6000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269368E+05             2.245469E+05             4.438107E+05
                  12.7800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269377E+05             2.245478E+05             4.438123E+05
                  12.9600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269385E+05             2.245486E+05             4.438138E+05
                  13.1400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269392E+05             2.245493E+05             4.438153E+05
                  13.3200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269400E+05             2.245501E+05             4.438166E+05
                  13.5000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269407E+05             2.245507E+05             4.438179E+05
                  13.6800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269413E+05             2.245514E+05             4.438191E+05
                  13.8600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269419E+05             2.245520E+05             4.438201E+05
                  14.0400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269424E+05             2.245525E+05             4.438211E+05
                  14.2200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269429E+05             2.245530E+05             4.438220E+05
                  14.4000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269434E+05             2.245535E+05             4.438228E+05
                  14.5800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269438E+05             2.245539E+05             4.438235E+05
                  14.7600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269441E+05             2.245542E+05             4.438241E+05
                  14.9400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269444E+05             2.245545E+05             4.438246E+05
                  15.1200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269446E+05             2.245547E+05             4.438250E+05
                  15.3000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269448E+05             2.245549E+05             4.438253E+05
                  15.4800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269449E+05             2.245550E+05             4.438255E+05
                  15.6600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269450E+05             2.245551E+05             4.438256E+05
                  15.8400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269450E+05             2.245551E+05             4.438256E+05
                  16.0200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269450E+05             2.245551E+05             4.438255E+05
                  16.2000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269449E+05             2.245550E+05             4.438254E+05
                  16.3800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269448E+05             2.245549E+05             4.438251E+05
                  16.5600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269446E+05             2.245547E+05             4.438247E+05
                  16.7400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269444E+05             2.245545E+05             4.438243E+05
                  16.9200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269441E+05             2.245542E+05             4.438237E+05
                  17.1000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269437E+05             2.245538E+05             4.438231E+05
                  17.2800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269435E+05             2.245536E+05             4.438223E+05
                  17.4600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269431E+05             2.245532E+05             4.438215E+05
                  17.6400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269426E+05             2.245527E+05             4.438206E+05
                  17.8200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269421E+05             2.245522E+05             4.438196E+05
                  18.0000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269416E+05             2.245517E+05             4.438185E+05
                  18.1800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269410E+05             2.245511E+05             4.438174E+05
                  18.3600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269403E+05             2.245504E+05             4.438162E+05
                  18.5400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269397E+05             2.245498E+05             4.438149E+05
                  18.7200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269390E+05             2.245490E+05             4.438135E+05
                  18.9000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269384E+05             2.245485E+05             4.438121E+05
                  19.0800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269376E+05             2.245477E+05             4.438106E+05
                  19.2600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269368E+05             2.245469E+05             4.438090E+05
                  19.4400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269359E+05             2.245460E+05             4.438074E+05
                  19.6200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269350E+05             2.245451E+05             4.438057E+05
                  19.8000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269341E+05             2.245442E+05             4.438040E+05
                  19.9800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269332E+05             2.245433E+05             4.438022E+05
                  20.1600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269324E+05             2.245425E+05             4.438003E+05
                  20.3400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269314E+05             2.245415E+05             4.437984E+05
                  20.5200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269304E+05             2.245405E+05             4.437965E+05
                  20.7000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269294E+05             2.245395E+05             4.437945E+05
                  20.8800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269283E+05             2.245384E+05             4.437925E+05
                  21.0600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269273E+05             2.245373E+05             4.437905E+05
                  21.2400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269263E+05             2.245364E+05             4.437884E+05
                  21.4200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269252E+05             2.245353E+05             4.437863E+05
                  21.6000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269241E+05             2.245342E+05             4.437841E+05
                  21.7800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269230E+05             2.245331E+05             4.437820E+05
                  21.9600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269220E+05             2.245321E+05             4.437798E+05
                  22.1400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269209E+05             2.245310E+05             4.437776E+05
                  22.3200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269197E+05             2.245298E+05             4.437753E+05
                  22.5000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269186E+05             2.245286E+05             4.437731E+05
                  22.6800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269176E+05             2.245277E+05             4.437708E+05
