                   Degree              F_vhoc_n[N]              F_vhoc_t[N]                 F_1_n[N]                 F_2_n[N]                  F_cx[N]                  F_cy[N]           F_resultant[N]
                  17.2800            -6.748430E+01            -5.809598E+01            -5.768217E+01             5.547249E+00             6.397751E+01             2.830354E+01             6.995864E+01
                  17.4600            -6.812501E+01            -5.817726E+01            -5.828427E+01             5.551165E+00             6.459371E+01             2.834332E+01             7.053858E+01
                  17.6400            -6.876452E+01            -5.825838E+01            -5.888546E+01             5.554801E+00             6.520884E+01             2.838216E+01             7.111779E+01
                  17.8200            -6.940280E+01            -5.833936E+01            -5.948575E+01             5.558150E+00             6.582287E+01             2.842008E+01             7.169624E+01
                  18.0000            -7.003985E+01            -5.842020E+01            -6.008513E+01             5.561206E+00             6.643580E+01             2.845710E+01             7.227393E+01
                  18.1800            -7.067567E+01            -5.850092E+01            -6.068359E+01             5.563961E+00             6.704761E+01             2.849324E+01             7.285085E+01
                  18.3600            -7.131026E+01            -5.858151E+01            -6.128113E+01             5.566409E+00             6.765829E+01             2.852851E+01             7.342697E+01
                  18.5400            -7.194360E+01            -5.866200E+01            -6.187774E+01             5.568542E+00             6.826784E+01             2.856295E+01             7.400229E+01
                  18.7200            -7.257570E+01            -5.874239E+01            -6.247342E+01             5.570354E+00             6.887623E+01             2.859657E+01             7.457679E+01
                  18.9000            -7.320655E+01            -5.882270E+01            -6.306817E+01             5.571839E+00             6.948345E+01             2.862939E+01             7.515046E+01
                  19.0800            -7.383614E+01            -5.890292E+01            -6.366198E+01             5.572988E+00             7.008951E+01             2.866143E+01             7.572329E+01
                  19.2600            -7.446446E+01            -5.898308E+01            -6.425484E+01             5.573797E+00             7.069437E+01             2.869272E+01             7.629526E+01
                  19.4400            -7.509153E+01            -5.906318E+01            -6.484675E+01             5.574257E+00             7.129803E+01             2.872328E+01             7.686635E+01
                  19.6200            -7.571732E+01            -5.914323E+01            -6.543771E+01             5.574363E+00             7.190048E+01             2.875313E+01             7.743656E+01
                  19.8000            -7.634183E+01            -5.922324E+01            -6.602771E+01             5.574107E+00             7.250171E+01             2.878229E+01             7.800588E+01
                  19.9800            -7.696506E+01            -5.930322E+01            -6.661674E+01             5.573484E+00             7.310169E+01             2.881079E+01             7.857429E+01
                  20.1600            -7.758701E+01            -5.938318E+01            -6.720481E+01             5.572488E+00             7.370043E+01             2.883865E+01             7.914178E+01
                  20.3400            -7.820766E+01            -5.946312E+01            -6.779191E+01             5.571111E+00             7.429790E+01             2.886590E+01             7.970833E+01
                  20.5200            -7.882701E+01            -5.954306E+01            -6.837803E+01             5.569349E+00             7.489410E+01             2.889255E+01             8.027394E+01
                  20.7000            -7.944507E+01            -5.962299E+01            -6.896316E+01             5.567195E+00             7.548901E+01             2.891862E+01             8.083859E+01
                  20.8800            -8.006181E+01            -5.970294E+01            -6.954731E+01             5.564643E+00             7.608262E+01             2.894415E+01             8.140226E+01
                  21.0600            -8.067725E+01            -5.978290E+01            -7.013047E+01             5.561689E+00             7.667492E+01             2.896914E+01             8.196496E+01
                  21.2400            -8.129136E+01            -5.986288E+01            -7.071263E+01             5.558325E+00             7.726589E+01             2.899364E+01             8.252666E+01
                  21.4200            -8.190415E+01            -5.994289E+01            -7.129379E+01             5.554547E+00             7.785553E+01             2.901764E+01             8.308734E+01
                  21.6000            -8.251560E+01            -6.002293E+01            -7.187394E+01             5.550350E+00             7.844381E+01             2.904118E+01             8.364701E+01
                  21.7800            -8.312572E+01            -6.010302E+01            -7.245308E+01             5.545729E+00             7.903074E+01             2.906428E+01             8.420564E+01
                  21.9600            -8.373450E+01            -6.018315E+01            -7.303120E+01             5.540678E+00             7.961629E+01             2.908695E+01             8.476322E+01
                  22.1400            -8.434193E+01            -6.026333E+01            -7.360830E+01             5.535194E+00             8.020045E+01             2.910923E+01             8.531975E+01
                  22.3200            -8.494800E+01            -6.034356E+01            -7.418438E+01             5.529271E+00             8.078322E+01             2.913111E+01             8.587520E+01
                  22.5000            -8.555271E+01            -6.042386E+01            -7.475942E+01             5.522904E+00             8.136457E+01             2.915263E+01             8.642957E+01
