                             Degree                         Volume[m3]                    I.Pressure[kPa]                   I.Temperature[K]                         I.Mass[kg]
                            18.3600                       6.100891E-08                       1.008573E+02                       3.037850E+02                       7.058284E-08
                            18.5400                       6.148711E-08                       1.008573E+02                       3.037850E+02                       7.113608E-08
                            18.7200                       6.197858E-08                       1.008573E+02                       3.037850E+02                       7.170467E-08
                            18.9000                       6.248349E-08                       1.008573E+02                       3.037850E+02                       7.228882E-08
                            19.0800                       6.300202E-08                       1.008573E+02                       3.037850E+02                       7.288871E-08
                            19.2600                       6.353433E-08                       1.008573E+02                       3.037850E+02                       7.350456E-08
                            19.4400                       6.408059E-08                       1.008573E+02                       3.037850E+02                       7.413654E-08
                            19.6200                       6.464098E-08                       1.008573E+02                       3.037850E+02                       7.478488E-08
                            19.8000                       6.521567E-08                       1.008573E+02                       3.037850E+02                       7.544975E-08
                            19.9800                       6.580482E-08                       1.008573E+02                       3.037850E+02                       7.613135E-08
                            20.1600                       6.640861E-08                       1.008573E+02                       3.037850E+02                       7.682989E-08
                            20.3400                       6.702720E-08                       1.008573E+02                       3.037850E+02                       7.754556E-08
                            20.5200                       6.766077E-08                       1.008573E+02                       3.037850E+02                       7.827855E-08
                            20.7000                       6.830948E-08                       1.008573E+02                       3.037850E+02                       7.902905E-08
                            20.8800                       6.897350E-08                       1.008573E+02                       3.037850E+02                       7.979728E-08
                            21.0600                       6.965300E-08                       1.008573E+02                       3.037850E+02                       8.058341E-08
                            21.2400                       7.034816E-08                       1.008573E+02                       3.037850E+02                       8.138765E-08
                            21.4200                       7.105912E-08                       1.008573E+02                       3.037850E+02                       8.221019E-08
                            21.6000                       7.178608E-08                       1.008573E+02                       3.037850E+02                       8.305122E-08
                            21.7800                       7.252918E-08                       1.008573E+02                       3.037850E+02                       8.391094E-08
                            21.9600                       7.328861E-08                       1.008573E+02                       3.037850E+02                       8.478954E-08
                            22.1400                       7.406452E-08                       1.008573E+02                       3.037850E+02                       8.568721E-08
                            22.3200                       7.485709E-08                       1.008573E+02                       3.037850E+02                       8.660415E-08
                            22.5000                       7.566647E-08                       1.008573E+02                       3.037850E+02                       8.754055E-08
                            22.6800                       7.649284E-08                       1.008573E+02                       3.037850E+02                       8.849661E-08
                            22.8600                       7.733637E-08                       1.008573E+02                       3.037850E+02                       8.947250E-08
                            23.0400                       7.819721E-08                       1.008573E+02                       3.037850E+02                       9.046843E-08
                            23.2200                       7.907554E-08                       1.008573E+02                       3.037850E+02                       9.148459E-08
                            23.4000                       7.997151E-08                       1.008573E+02                       3.037850E+02                       9.252117E-08
                            23.5800                       8.088530E-08                       1.008573E+02                       3.037850E+02                       9.357836E-08
                            23.7600                       8.181707E-08                       1.008573E+02                       3.037850E+02                       9.465635E-08
                            23.9400                       8.276698E-08                       1.008573E+02                       3.037850E+02                       9.575532E-08
                            24.1200                       8.373520E-08                       1.008573E+02                       3.037850E+02                       9.687548E-08
                            24.3000                       8.472189E-08                       1.008573E+02                       3.037850E+02                       9.801701E-08
                            24.4800                       8.572722E-08                       1.008573E+02                       3.037850E+02                       9.918010E-08
                            24.6600                       8.675134E-08                       1.008573E+02                       3.037850E+02                       1.003649E-07
                            24.8400                       8.779442E-08                       1.008573E+02                       3.037850E+02                       1.015717E-07
                            25.0200                       8.885663E-08                       1.008573E+02                       3.037850E+02                       1.028006E-07
                            25.2000                       8.993812E-08                       1.008573E+02                       3.037850E+02                       1.040518E-07
                            25.3800                       9.103906E-08                       1.008573E+02                       3.037850E+02                       1.053255E-07
                            25.5600                       9.215962E-08                       1.008573E+02                       3.037850E+02                       1.066219E-07
                            25.7400                       9.329994E-08                       1.008573E+02                       3.037850E+02                       1.079412E-07
                            25.9200                       9.446020E-08                       1.008573E+02                       3.037850E+02                       1.092835E-07
                            26.1000                       9.564055E-08                       1.008573E+02                       3.037850E+02                       1.106491E-07
                            26.2800                       9.684115E-08                       1.008573E+02                       3.037850E+02                       1.120381E-07
                            26.4600                       9.806217E-08                       1.008573E+02                       3.037850E+02                       1.134507E-07
                            26.6400                       9.930377E-08                       1.008573E+02                       3.037850E+02                       1.148872E-07
                            26.8200                       1.005661E-07                       1.008573E+02                       3.037850E+02                       1.163476E-07
                            27.0000                       1.018493E-07                       1.008573E+02                       3.037850E+02                       1.178322E-07
                            27.1800                       1.031536E-07                       1.008573E+02                       3.037850E+02                       1.193411E-07
                            27.3600                       1.044791E-07                       1.008573E+02                       3.037850E+02                       1.208746E-07
                            27.5400                       1.058259E-07                       1.008573E+02                       3.037850E+02                       1.224329E-07
                            27.7200                       1.071943E-07                       1.008573E+02                       3.037850E+02                       1.240160E-07
                            27.9000                       1.085844E-07                       1.008573E+02                       3.037850E+02                       1.256242E-07
                            28.0800                       1.099963E-07                       1.008573E+02                       3.037850E+02                       1.272577E-07
                            28.2600                       1.114302E-07                       1.008573E+02                       3.037850E+02                       1.289166E-07
                            28.4400                       1.128863E-07                       1.008573E+02                       3.037850E+02                       1.306012E-07
