                   Degree               Volume[m3]            Pressure[kPa]           Temperature[K]        Int. Energy[J/kg]           Density[kg/m3]           Enthalpy[J/kg]          Entropy[J/kg.K]  Dyn. Viscosity[N.s/m^2]       Spec. Heat[J/kg.K]     Therm. Cond[W/(m.K)]                 Mass[kg]    Valve Deflec. mid[mm]    Valve Deflec. tip[mm]
                   9.3600             5.018061E-08             9.030130E+01             3.054252E+02             3.498220E+05             1.030234E+00             4.317822E+05             3.937885E+03             1.879622E-05             1.006416E+03             2.678283E-02             5.289829E-08             0.000000E+00             0.000000E+00
                   9.5400             5.021757E-08             9.031779E+01             3.054285E+02             3.498149E+05             1.030411E+00             4.317855E+05             3.937844E+03             1.879638E-05             1.006416E+03             2.678308E-02             5.294427E-08             0.000000E+00             0.000000E+00
                   9.7200             5.025903E-08             9.033631E+01             3.054317E+02             3.498065E+05             1.030612E+00             4.317886E+05             3.937795E+03             1.879653E-05             1.006417E+03             2.678331E-02             5.299596E-08             0.000000E+00             0.000000E+00
                   9.9000             5.030516E-08             9.035693E+01             3.054346E+02             3.497968E+05             1.030837E+00             4.317916E+05             3.937739E+03             1.879668E-05             1.006417E+03             2.678354E-02             5.305359E-08             0.000000E+00             0.000000E+00
                  10.0800             5.035613E-08             9.037972E+01             3.054375E+02             3.497858E+05             1.031088E+00             4.317944E+05             3.937676E+03             1.879682E-05             1.006418E+03             2.678376E-02             5.311738E-08             0.000000E+00             0.000000E+00
                  10.2600             5.041214E-08             9.040473E+01             3.054402E+02             3.497735E+05             1.031364E+00             4.317970E+05             3.937605E+03             1.879695E-05             1.006418E+03             2.678396E-02             5.318755E-08             0.000000E+00             0.000000E+00
                  10.4400             5.047335E-08             9.043203E+01             3.054427E+02             3.497597E+05             1.031667E+00             4.317995E+05             3.937527E+03             1.879707E-05             1.006419E+03             2.678416E-02             5.326432E-08             0.000000E+00             0.000000E+00
                  10.6200             5.053994E-08             9.046165E+01             3.054451E+02             3.497445E+05             1.031997E+00             4.318018E+05             3.937440E+03             1.879719E-05             1.006419E+03             2.678434E-02             5.334792E-08             0.000000E+00             0.000000E+00
                  10.8000             5.061210E-08             9.049366E+01             3.054472E+02             3.497279E+05             1.032355E+00             4.318039E+05             3.937346E+03             1.879730E-05             1.006420E+03             2.678451E-02             5.343857E-08             0.000000E+00             0.000000E+00
                  10.9800             5.069000E-08             9.052810E+01             3.054492E+02             3.497098E+05             1.032741E+00             4.318059E+05             3.937243E+03             1.879740E-05             1.006420E+03             2.678467E-02             5.353649E-08             0.000000E+00             0.000000E+00
                  11.1600             5.077382E-08             9.056500E+01             3.054511E+02             3.496902E+05             1.033156E+00             4.318076E+05             3.937132E+03             1.879749E-05             1.006421E+03             2.678482E-02             5.364188E-08             0.000000E+00             0.000000E+00
                  11.3400             5.086374E-08             9.060441E+01             3.054527E+02             3.496691E+05             1.033600E+00             4.318092E+05             3.937012E+03             1.879758E-05             1.006422E+03             2.678495E-02             5.375498E-08             0.000000E+00             0.000000E+00
                  11.5200             5.095993E-08             9.064636E+01             3.054542E+02             3.496464E+05             1.034074E+00             4.318106E+05             3.936884E+03             1.879765E-05             1.006422E+03             2.678507E-02             5.387599E-08             0.000000E+00             0.000000E+00
                  11.7000             5.106258E-08             9.069086E+01             3.054555E+02             3.496222E+05             1.034577E+00             4.318118E+05             3.936747E+03             1.879772E-05             1.006423E+03             2.678518E-02             5.400513E-08             0.000000E+00             0.000000E+00
                  11.8800             5.117185E-08             9.073795E+01             3.054566E+02             3.495964E+05             1.035111E+00             4.318128E+05             3.936601E+03             1.879778E-05             1.006424E+03             2.678528E-02             5.414261E-08             0.000000E+00             0.000000E+00
                  12.0600             5.128793E-08             9.078764E+01             3.054575E+02             3.495690E+05             1.035674E+00             4.318136E+05             3.936447E+03             1.879783E-05             1.006425E+03             2.678536E-02             5.428865E-08             0.000000E+00             0.000000E+00
                  12.2400             5.141100E-08             9.083995E+01             3.054582E+02             3.495401E+05             1.036269E+00             4.318142E+05             3.936283E+03             1.879787E-05             1.006425E+03             2.678543E-02             5.444346E-08             0.000000E+00             0.000000E+00
                  12.4200             5.154123E-08             9.089487E+01             3.054588E+02             3.495096E+05             1.036894E+00             4.318146E+05             3.936111E+03             1.879791E-05             1.006426E+03             2.678549E-02             5.460724E-08             0.000000E+00             0.000000E+00
                  12.6000             5.167880E-08             9.095241E+01             3.054591E+02             3.494775E+05             1.037549E+00             4.318149E+05             3.935931E+03             1.879793E-05             1.006427E+03             2.678553E-02             5.478021E-08             0.000000E+00             0.000000E+00
                  12.7800             5.182389E-08             9.101256E+01             3.054593E+02             3.494438E+05             1.038235E+00             4.318149E+05             3.935741E+03             1.879795E-05             1.006428E+03             2.678556E-02             5.496256E-08             0.000000E+00             0.000000E+00
                  12.9600             5.197667E-08             9.107532E+01             3.054593E+02             3.494086E+05             1.038951E+00             4.318148E+05             3.935543E+03             1.879796E-05             1.006429E+03             2.678558E-02             5.515452E-08             0.000000E+00             0.000000E+00
                  13.1400             5.213732E-08             9.114067E+01             3.054592E+02             3.493718E+05             1.039697E+00             4.318145E+05             3.935336E+03             1.879796E-05             1.006430E+03             2.678559E-02             5.535627E-08             0.000000E+00             0.000000E+00
                  13.3200             5.230601E-08             9.120858E+01             3.054588E+02             3.493335E+05             1.040473E+00             4.318140E+05             3.935121E+03             1.879795E-05             1.006431E+03             2.678559E-02             5.556802E-08             0.000000E+00             0.000000E+00
                  13.5000             5.248293E-08             9.127904E+01             3.054583E+02             3.492936E+05             1.041279E+00             4.318134E+05             3.934897E+03             1.879794E-05             1.006432E+03             2.678557E-02             5.578997E-08             0.000000E+00             0.000000E+00
                  13.6800             5.266825E-08             9.135200E+01             3.054577E+02             3.492523E+05             1.042113E+00             4.318126E+05             3.934665E+03             1.879792E-05             1.006433E+03             2.678555E-02             5.602233E-08             0.000000E+00             0.000000E+00
                  13.8600             5.286215E-08             9.142743E+01             3.054569E+02             3.492095E+05             1.042977E+00             4.318116E+05             3.934425E+03             1.879789E-05             1.006434E+03             2.678551E-02             5.626529E-08             0.000000E+00             0.000000E+00
                  14.0400             5.306479E-08             9.150529E+01             3.054559E+02             3.491653E+05             1.043869E+00             4.318104E+05             3.934177E+03             1.879785E-05             1.006435E+03             2.678546E-02             5.651904E-08             0.000000E+00             0.000000E+00
                  14.2200             5.327637E-08             9.158553E+01             3.054548E+02             3.491196E+05             1.044788E+00             4.318091E+05             3.933921E+03             1.879781E-05             1.006437E+03             2.678541E-02             5.678378E-08             0.000000E+00             0.000000E+00
