                   Degree           I_press_scv[W]           I_press_dcv[W]          I_tempmx_scv[W]          I_tempmx_dcv[W]             I_thr_scv[W]             I_thr_dcv[W]            I_thr_leak[W]              I_ht_scv[W]              I_ht_dcv[W]               I_ef_vh[W]                I_s_vh[W]                I_f_vs[W]               I_ef_ro[W]                 I_lub[W]              I_bear_s[W]            I_lip_seal[W]
                   5.9400             1.116896E+02             1.791956E+00             4.608391E-02             1.548143E-01             1.117357E+02             1.946771E+00             2.227800E-01             7.202735E-02             1.254995E-01             4.138999E-02             4.716546E-01             4.185559E-02             1.212930E+01             9.352282E+00             8.154599E+00             3.073242E+01
                   6.1200             1.118169E+02             1.893631E+00             4.631988E-02             1.635972E-01             1.118632E+02             2.057228E+00             2.236733E-01             7.382971E-02             1.255043E-01             4.135302E-02             4.721648E-01             2.647152E-02             1.212583E+01             9.368260E+00             8.154139E+00             3.073242E+01
                   6.3000             1.119354E+02             1.997402E+00             4.655366E-02             1.725612E-01             1.119820E+02             2.169963E+00             2.245003E-01             7.562444E-02             1.255093E-01             4.131497E-02             4.726827E-01             1.111127E-02             1.212225E+01             9.384692E+00             8.153677E+00             3.073242E+01
                   6.4800             1.120438E+02             2.102852E+00             4.678435E-02             1.816701E-01             1.120906E+02             2.284522E+00             2.253190E-01             7.741205E-02             1.255147E-01             4.127584E-02             4.732086E-01             4.227229E-03             1.211858E+01             9.401579E+00             8.153213E+00             3.073242E+01
                   6.6600             1.121405E+02             2.209606E+00             4.701165E-02             1.908916E-01             1.121875E+02             2.400498E+00             2.261873E-01             7.919299E-02             1.255203E-01             4.123565E-02             4.737428E-01             1.954660E-02             1.211481E+01             9.418921E+00             8.152748E+00             3.073242E+01
                   6.8400             1.122237E+02             2.318358E+00             4.723461E-02             2.002854E-01             1.122709E+02             2.518643E+00             2.269824E-01             8.096777E-02             1.255263E-01             4.119438E-02             4.742854E-01             3.484921E-02             1.211093E+01             9.436719E+00             8.152283E+00             3.073242E+01
                   7.0200             1.122920E+02             2.329278E+00             4.745171E-02             2.012275E-01             1.123394E+02             2.530506E+00             2.277621E-01             8.273690E-02             1.255325E-01             4.115205E-02             4.748368E-01             5.013800E-02             1.210696E+01             9.454973E+00             8.151817E+00             3.073242E+01
                   7.2000             1.123437E+02             2.242039E+00             4.766235E-02             1.936895E-01             1.123913E+02             2.435728E+00             2.285239E-01             8.450085E-02             1.255390E-01             4.110866E-02             4.753972E-01             6.541559E-02             1.210289E+01             9.473682E+00             8.151351E+00             3.073242E+01
                   7.3800             1.123773E+02             2.190439E+00             4.786574E-02             1.892306E-01             1.124251E+02             2.379669E+00             2.292656E-01             8.626007E-02             1.255458E-01             4.106421E-02             4.759670E-01             8.068470E-02             1.209873E+01             9.492847E+00             8.150887E+00             3.073242E+01
                   7.5600             1.123912E+02             2.181396E+00             4.806099E-02             1.884481E-01             1.124392E+02             2.369844E+00             2.299847E-01             8.801505E-02             1.255529E-01             4.101869E-02             4.765462E-01             9.594819E-02             1.209446E+01             9.512468E+00             8.150423E+00             3.073242E+01
