                   Degree               T_ocsc2[K]               T_ocsc3[K]               T_ocdc2[K]               T_ocdc3[K]               T_rosc2[K]               T_rosc3[K]               T_rodc2[K]               T_rodc3[K]             T_roller2[K]             T_roller3[K]
                  10.6200             3.470281E+02             3.466822E+02             3.483705E+02             3.479062E+02             3.503092E+02             3.493026E+02             3.516603E+02             3.505659E+02             3.520573E+02             3.509052E+02
                  10.8000             3.470011E+02             3.466559E+02             3.483564E+02             3.478922E+02             3.502834E+02             3.492775E+02             3.516452E+02             3.505511E+02             3.520413E+02             3.508896E+02
                  10.9800             3.469742E+02             3.466297E+02             3.483423E+02             3.478783E+02             3.502577E+02             3.492524E+02             3.516301E+02             3.505364E+02             3.520254E+02             3.508740E+02
                  11.1600             3.469474E+02             3.466035E+02             3.483283E+02             3.478644E+02             3.502322E+02             3.492275E+02             3.516150E+02             3.505217E+02             3.520094E+02             3.508585E+02
                  11.3400             3.469207E+02             3.465775E+02             3.483143E+02             3.478506E+02             3.502067E+02             3.492027E+02             3.516000E+02             3.505071E+02             3.519935E+02             3.508430E+02
                  11.5200             3.468941E+02             3.465515E+02             3.483003E+02             3.478368E+02             3.501814E+02             3.491780E+02             3.515850E+02             3.504924E+02             3.519776E+02             3.508275E+02
                  11.7000             3.468676E+02             3.465256E+02             3.482864E+02             3.478230E+02             3.501562E+02             3.491534E+02             3.515700E+02             3.504778E+02             3.519617E+02             3.508120E+02
                  11.8800             3.468411E+02             3.464997E+02             3.482725E+02             3.478093E+02             3.501312E+02             3.491288E+02             3.515550E+02             3.504632E+02             3.519459E+02             3.507965E+02
                  12.0600             3.468147E+02             3.464739E+02             3.482586E+02             3.477956E+02             3.501062E+02             3.491044E+02             3.515401E+02             3.504487E+02             3.519300E+02             3.507811E+02
                  12.2400             3.467883E+02             3.464482E+02             3.482447E+02             3.477819E+02             3.500813E+02             3.490801E+02             3.515252E+02             3.504341E+02             3.519142E+02             3.507656E+02
                  12.4200             3.467621E+02             3.464226E+02             3.482309E+02             3.477682E+02             3.500565E+02             3.490558E+02             3.515103E+02             3.504196E+02             3.518983E+02             3.507502E+02
                  12.6000             3.467358E+02             3.463969E+02             3.482171E+02             3.477546E+02             3.500318E+02             3.490317E+02             3.514954E+02             3.504051E+02             3.518825E+02             3.507348E+02
                  12.7800             3.467096E+02             3.463714E+02             3.482033E+02             3.477410E+02             3.500072E+02             3.490076E+02             3.514805E+02             3.503906E+02             3.518667E+02             3.507194E+02
                  12.9600             3.466835E+02             3.463458E+02             3.481895E+02             3.477274E+02             3.499826E+02             3.489835E+02             3.514656E+02             3.503761E+02             3.518509E+02             3.507040E+02
                  13.1400             3.466574E+02             3.463204E+02             3.481758E+02             3.477138E+02             3.499581E+02             3.489595E+02             3.514508E+02             3.503617E+02             3.518351E+02             3.506886E+02
                  13.3200             3.466314E+02             3.462949E+02             3.481620E+02             3.477002E+02             3.499337E+02             3.489356E+02             3.514359E+02             3.503472E+02             3.518192E+02             3.506732E+02
                  13.5000             3.466053E+02             3.462695E+02             3.481483E+02             3.476867E+02             3.499093E+02             3.489117E+02             3.514211E+02             3.503328E+02             3.518034E+02             3.506578E+02
                  13.6800             3.465793E+02             3.462441E+02             3.481346E+02             3.476731E+02             3.498850E+02             3.488879E+02             3.514062E+02             3.503183E+02             3.517876E+02             3.506423E+02
                  13.8600             3.465534E+02             3.462187E+02             3.481209E+02             3.476596E+02             3.498608E+02             3.488641E+02             3.513914E+02             3.503039E+02             3.517718E+02             3.506269E+02
                  14.0400             3.465274E+02             3.461934E+02             3.481072E+02             3.476460E+02             3.498366E+02             3.488404E+02             3.513766E+02             3.502894E+02             3.517559E+02             3.506115E+02
                  14.2200             3.465015E+02             3.461681E+02             3.480935E+02             3.476325E+02             3.498124E+02             3.488167E+02             3.513617E+02             3.502750E+02             3.517401E+02             3.505961E+02
                  14.4000             3.464756E+02             3.461428E+02             3.480798E+02             3.476190E+02             3.497883E+02             3.487930E+02             3.513469E+02             3.502605E+02             3.517242E+02             3.505806E+02
                  14.5800             3.464498E+02             3.461175E+02             3.480661E+02             3.476055E+02             3.497642E+02             3.487694E+02             3.513320E+02             3.502461E+02             3.517083E+02             3.505652E+02
                  14.7600             3.464239E+02             3.460922E+02             3.480524E+02             3.475919E+02             3.497402E+02             3.487458E+02             3.513172E+02             3.502316E+02             3.516924E+02             3.505497E+02
                  14.9400             3.463980E+02             3.460670E+02             3.480387E+02             3.475784E+02             3.497162E+02             3.487222E+02             3.513023E+02             3.502171E+02             3.516765E+02             3.505342E+02
