                   Degree             gamma_1[rad]        dgammadt_1[rad/s]      dgammadtt_1[rad/s2]
                  39.4200            -6.686963E-02            -1.474389E+01             3.077466E+03
                  39.6000            -6.711000E-02            -1.469357E+01             3.086408E+03
                  39.7800            -6.734955E-02            -1.464309E+01             3.095292E+03
                  39.9600            -6.758828E-02            -1.459247E+01             3.104116E+03
                  40.1400            -6.782617E-02            -1.454171E+01             3.112882E+03
                  40.3200            -6.806324E-02            -1.449081E+01             3.121590E+03
                  40.5000            -6.829947E-02            -1.443976E+01             3.130238E+03
                  40.6800            -6.853487E-02            -1.438858E+01             3.138828E+03
                  40.8600            -6.876943E-02            -1.433725E+01             3.147359E+03
                  41.0400            -6.900315E-02            -1.428579E+01             3.155831E+03
                  41.2200            -6.923603E-02            -1.423418E+01             3.164245E+03
                  41.4000            -6.946806E-02            -1.418244E+01             3.172599E+03
                  41.5800            -6.969925E-02            -1.413057E+01             3.180894E+03
                  41.7600            -6.992959E-02            -1.407855E+01             3.189130E+03
                  41.9400            -7.015908E-02            -1.402641E+01             3.197308E+03
                  42.1200            -7.038772E-02            -1.397413E+01             3.205426E+03
                  42.3000            -7.061551E-02            -1.392172E+01             3.213485E+03
                  42.4800            -7.084243E-02            -1.386918E+01             3.221486E+03
                  42.6600            -7.106850E-02            -1.381651E+01             3.229427E+03
                  42.8400            -7.129371E-02            -1.376371E+01             3.237309E+03
                  43.0200            -7.151805E-02            -1.371078E+01             3.245132E+03
                  43.2000            -7.174153E-02            -1.365772E+01             3.252896E+03
                  43.3800            -7.196414E-02            -1.360454E+01             3.260600E+03
                  43.5600            -7.218588E-02            -1.355123E+01             3.268246E+03
                  43.7400            -7.240675E-02            -1.349780E+01             3.275832E+03
                  43.9200            -7.262674E-02            -1.344424E+01             3.283360E+03
                  44.1000            -7.284586E-02            -1.339056E+01             3.290828E+03
                  44.2800            -7.306410E-02            -1.333676E+01             3.298237E+03
                  44.4600            -7.328146E-02            -1.328284E+01             3.305587E+03
                  44.6400            -7.349794E-02            -1.322880E+01             3.312878E+03
                  44.8200            -7.371354E-02            -1.317464E+01             3.320110E+03
                  45.0000            -7.392825E-02            -1.312037E+01             3.327283E+03
                  45.1800            -7.414208E-02            -1.306597E+01             3.334396E+03
                  45.3600            -7.435501E-02            -1.301147E+01             3.341451E+03
                  45.5400            -7.456706E-02            -1.295684E+01             3.348446E+03
                  45.7200            -7.477821E-02            -1.290211E+01             3.355383E+03
                  45.9000            -7.498846E-02            -1.284725E+01             3.362260E+03
                  46.0800            -7.519782E-02            -1.279229E+01             3.369079E+03
                  46.2600            -7.540628E-02            -1.273722E+01             3.375838E+03
                  46.4400            -7.561385E-02            -1.268204E+01             3.382539E+03
                  46.6200            -7.582050E-02            -1.262675E+01             3.389181E+03
                  46.8000            -7.602626E-02            -1.257135E+01             3.395763E+03
                  46.9800            -7.623111E-02            -1.251584E+01             3.402287E+03
                  47.1600            -7.643505E-02            -1.246023E+01             3.408752E+03
                  47.3400            -7.663808E-02            -1.240451E+01             3.415159E+03
                  47.5200            -7.684020E-02            -1.234869E+01             3.421506E+03
                  47.7000            -7.704141E-02            -1.229276E+01             3.427795E+03
                  47.8800            -7.724171E-02            -1.223673E+01             3.434025E+03
                  48.0600            -7.744109E-02            -1.218060E+01             3.440196E+03
                  48.2400            -7.763955E-02            -1.212437E+01             3.446309E+03
                  48.4200            -7.783709E-02            -1.206805E+01             3.452363E+03
                  48.6000            -7.803372E-02            -1.201162E+01             3.458359E+03
                  48.7800            -7.822942E-02            -1.195509E+01             3.464296E+03
                  48.9600            -7.842419E-02            -1.189847E+01             3.470175E+03
                  49.1400            -7.861804E-02            -1.184176E+01             3.475996E+03
                  49.3200            -7.881097E-02            -1.178495E+01             3.481758E+03
                  49.5000            -7.900296E-02            -1.172804E+01             3.487462E+03
                  49.6800            -7.919403E-02            -1.167104E+01             3.493107E+03
                  49.8600            -7.938416E-02            -1.161395E+01             3.498695E+03
                  50.0400            -7.957336E-02            -1.155677E+01             3.504224E+03
                  50.2200            -7.976163E-02            -1.149950E+01             3.509696E+03
                  50.4000            -7.994896E-02            -1.144215E+01             3.515109E+03
                  50.5800            -8.013535E-02            -1.138470E+01             3.520464E+03
                  50.7600            -8.032080E-02            -1.132716E+01             3.525762E+03
                  50.9400            -8.050532E-02            -1.126954E+01             3.531002E+03
                  51.1200            -8.068889E-02            -1.121184E+01             3.536184E+03
                  51.3000            -8.087152E-02            -1.115405E+01             3.541308E+03
                  51.4800            -8.105320E-02            -1.109618E+01             3.546375E+03
                  51.6600            -8.123394E-02            -1.103822E+01             3.551384E+03
                  51.8400            -8.141373E-02            -1.098019E+01             3.556336E+03
                  52.0200            -8.159257E-02            -1.092207E+01             3.561231E+03
                  52.2000            -8.177047E-02            -1.086388E+01             3.566068E+03
                  52.3800            -8.194741E-02            -1.080560E+01             3.570848E+03
                  52.5600            -8.212340E-02            -1.074725E+01             3.575570E+03
                  52.7400            -8.229843E-02            -1.068882E+01             3.580236E+03
                  52.9200            -8.247251E-02            -1.063032E+01             3.584845E+03
                  53.1000            -8.264564E-02            -1.057174E+01             3.589397E+03
                  53.2800            -8.281781E-02            -1.051308E+01             3.593892E+03
                  53.4600            -8.298902E-02            -1.045436E+01             3.598330E+03
                  53.6400            -8.315927E-02            -1.039556E+01             3.602711E+03
                  53.8200            -8.332856E-02            -1.033669E+01             3.607036E+03
                  54.0000            -8.349688E-02            -1.027775E+01             3.611305E+03
                  54.1800            -8.366425E-02            -1.021874E+01             3.615517E+03
                  54.3600            -8.383065E-02            -1.015966E+01             3.619673E+03
                  54.5400            -8.399608E-02            -1.010052E+01             3.623773E+03
                  54.7200            -8.416055E-02            -1.004131E+01             3.627816E+03
                  54.9000            -8.432405E-02            -9.982030E+00             3.631804E+03
                  55.0800            -8.448658E-02            -9.922689E+00             3.635736E+03
                  55.2600            -8.464814E-02            -9.863283E+00             3.639611E+03
                  55.4400            -8.480873E-02            -9.803815E+00             3.643431E+03
                  55.6200            -8.496835E-02            -9.744285E+00             3.647196E+03
                  55.8000            -8.512700E-02            -9.684694E+00             3.650905E+03
                  55.9800            -8.528468E-02            -9.625043E+00             3.654558E+03
                  56.1600            -8.544137E-02            -9.565332E+00             3.658157E+03
                  56.3400            -8.559710E-02            -9.505564E+00             3.661700E+03
                  56.5200            -8.575184E-02            -9.445737E+00             3.665187E+03
                  56.7000            -8.590561E-02            -9.385855E+00             3.668620E+03
                  56.8800            -8.605840E-02            -9.325916E+00             3.671998E+03
                  57.0600            -8.621022E-02            -9.265923E+00             3.675322E+03
                  57.2400            -8.636105E-02            -9.205876E+00             3.678590E+03
                  57.4200            -8.651090E-02            -9.145776E+00             3.681804E+03
                  57.6000            -8.665977E-02            -9.085624E+00             3.684964E+03
                  57.7800            -8.680765E-02            -9.025421E+00             3.688069E+03
                  57.9600            -8.695455E-02            -8.965167E+00             3.691120E+03
                  58.1400            -8.710047E-02            -8.904864E+00             3.694117E+03
                  58.3200            -8.724540E-02            -8.844513E+00             3.697060E+03
                  58.5000            -8.738935E-02            -8.784114E+00             3.699949E+03
                  58.6800            -8.753231E-02            -8.723668E+00             3.702784E+03
                  58.8600            -8.767428E-02            -8.663176E+00             3.705565E+03
                  59.0400            -8.781526E-02            -8.602640E+00             3.708293E+03
                  59.2200            -8.795526E-02            -8.542059E+00             3.710968E+03
                  59.4000            -8.809426E-02            -8.481435E+00             3.713589E+03
                  59.5800            -8.823228E-02            -8.420768E+00             3.716158E+03
                  59.7600            -8.836930E-02            -8.360060E+00             3.718673E+03
                  59.9400            -8.850534E-02            -8.299311E+00             3.721135E+03
                  60.1200            -8.864037E-02            -8.238523E+00             3.723545E+03
                  60.3000            -8.877442E-02            -8.177695E+00             3.725902E+03
                  60.4800            -8.890747E-02            -8.116830E+00             3.728206E+03
                  60.6600            -8.903953E-02            -8.055927E+00             3.730458E+03
                  60.8400            -8.917060E-02            -7.994988E+00             3.732658E+03
                  61.0200            -8.930066E-02            -7.934013E+00             3.734805E+03
                  61.2000            -8.942974E-02            -7.873004E+00             3.736901E+03
                  61.3800            -8.955781E-02            -7.811961E+00             3.738944E+03
                  61.5600            -8.968489E-02            -7.750884E+00             3.740936E+03
                  61.7400            -8.981097E-02            -7.689776E+00             3.742877E+03
                  61.9200            -8.993605E-02            -7.628637E+00             3.744765E+03
                  62.1000            -9.006014E-02            -7.567467E+00             3.746603E+03
                  62.2800            -9.018322E-02            -7.506267E+00             3.748389E+03
                  62.4600            -9.030531E-02            -7.445039E+00             3.750124E+03
                  62.6400            -9.042639E-02            -7.383782E+00             3.751809E+03
                  62.8200            -9.054647E-02            -7.322499E+00             3.753442E+03
                  63.0000            -9.066556E-02            -7.261189E+00             3.755025E+03
                  63.1800            -9.078364E-02            -7.199854E+00             3.756557E+03
                  63.3600            -9.090072E-02            -7.138494E+00             3.758039E+03
                  63.5400            -9.101680E-02            -7.077111E+00             3.759471E+03
                  63.7200            -9.113187E-02            -7.015704E+00             3.760852E+03
                  63.9000            -9.124594E-02            -6.954275E+00             3.762184E+03
                  64.0800            -9.135901E-02            -6.892825E+00             3.763466E+03
                  64.2600            -9.147108E-02            -6.831354E+00             3.764698E+03
                  64.4400            -9.158214E-02            -6.769864E+00             3.765881E+03
                  64.6200            -9.169219E-02            -6.708355E+00             3.767014E+03
                  64.8000            -9.180124E-02            -6.646827E+00             3.768098E+03
                  64.9800            -9.190929E-02            -6.585282E+00             3.769133E+03
                  65.1600            -9.201633E-02            -6.523721E+00             3.770119E+03
                  65.3400            -9.212237E-02            -6.462144E+00             3.771056E+03
                  65.5200            -9.222740E-02            -6.400552E+00             3.771945E+03
                  65.7000            -9.233142E-02            -6.338946E+00             3.772785E+03
                  65.8800            -9.243444E-02            -6.277326E+00             3.773576E+03
                  66.0600            -9.253645E-02            -6.215694E+00             3.774320E+03
                  66.2400            -9.263746E-02            -6.154051E+00             3.775015E+03
                  66.4200            -9.273745E-02            -6.092396E+00             3.775663E+03
                  66.6000            -9.283645E-02            -6.030731E+00             3.776262E+03
                  66.7800            -9.293443E-02            -5.969057E+00             3.776815E+03
                  66.9600            -9.303141E-02            -5.907373E+00             3.777319E+03
                  67.1400            -9.312738E-02            -5.845683E+00             3.777777E+03
                  67.3200            -9.322234E-02            -5.783985E+00             3.778187E+03
                  67.5000            -9.331629E-02            -5.722280E+00             3.778550E+03
                  67.6800            -9.340924E-02            -5.660570E+00             3.778867E+03
                  67.8600            -9.350118E-02            -5.598856E+00             3.779136E+03
                  68.0400            -9.359211E-02            -5.537137E+00             3.779360E+03
                  68.2200            -9.368203E-02            -5.475415E+00             3.779536E+03
                  68.4000            -9.377095E-02            -5.413690E+00             3.779667E+03
                  68.5800            -9.385885E-02            -5.351964E+00             3.779752E+03
                  68.7600            -9.394575E-02            -5.290236E+00             3.779790E+03
                  68.9400            -9.403164E-02            -5.228509E+00             3.779783E+03
                  69.1200            -9.411653E-02            -5.166781E+00             3.779730E+03
                  69.3000            -9.420040E-02            -5.105055E+00             3.779632E+03
                  69.4800            -9.428327E-02            -5.043331E+00             3.779489E+03
                  69.6600            -9.436512E-02            -4.981610E+00             3.779300E+03
                  69.8400            -9.444598E-02            -4.919892E+00             3.779067E+03
                  70.0200            -9.452582E-02            -4.858178E+00             3.778788E+03
                  70.2000            -9.460465E-02            -4.796470E+00             3.778465E+03
                  70.3800            -9.468248E-02            -4.734766E+00             3.778098E+03
                  70.5600            -9.475930E-02            -4.673070E+00             3.777686E+03
                  70.7400            -9.483511E-02            -4.611380E+00             3.777230E+03
                  70.9200            -9.490992E-02            -4.549698E+00             3.776730E+03
                  71.1000            -9.498371E-02            -4.488024E+00             3.776186E+03
                  71.2800            -9.505650E-02            -4.426360E+00             3.775599E+03
                  71.4600            -9.512829E-02            -4.364705E+00             3.774968E+03
                  71.6400            -9.519906E-02            -4.303062E+00             3.774293E+03
                  71.8200            -9.526883E-02            -4.241429E+00             3.773575E+03
                  72.0000            -9.533760E-02            -4.179809E+00             3.772815E+03
                  72.1800            -9.540535E-02            -4.118202E+00             3.772011E+03
                  72.3600            -9.547211E-02            -4.056607E+00             3.771165E+03
                  72.5400            -9.553785E-02            -3.995027E+00             3.770276E+03
                  72.7200            -9.560259E-02            -3.933462E+00             3.769345E+03
                  72.9000            -9.566633E-02            -3.871913E+00             3.768371E+03
                  73.0800            -9.572906E-02            -3.810379E+00             3.767355E+03
                  73.2600            -9.579078E-02            -3.748863E+00             3.766298E+03
                  73.4400            -9.585150E-02            -3.687364E+00             3.765199E+03
                  73.6200            -9.591122E-02            -3.625884E+00             3.764058E+03
                  73.8000            -9.596993E-02            -3.564422E+00             3.762876E+03
                  73.9800            -9.602764E-02            -3.502980E+00             3.761652E+03
                  74.1600            -9.608434E-02            -3.441558E+00             3.760387E+03
                  74.3400            -9.614005E-02            -3.380158E+00             3.759082E+03
                  74.5200            -9.619475E-02            -3.318778E+00             3.757735E+03
                  74.7000            -9.624844E-02            -3.257422E+00             3.756349E+03
                  74.8800            -9.630114E-02            -3.196088E+00             3.754921E+03
                  75.0600            -9.635283E-02            -3.134778E+00             3.753453E+03
                  75.2400            -9.640353E-02            -3.073492E+00             3.751946E+03
                  75.4200            -9.645322E-02            -3.012231E+00             3.750398E+03
