                   Degree              F_vhoc_n[N]              F_vhoc_t[N]                 F_1_n[N]                 F_2_n[N]                  F_cx[N]                  F_cy[N]           F_resultant[N]
                  11.1600            -2.699974E+01            -4.985575E+01            -1.995563E+01             6.239897E+00             2.681039E+01             2.012461E+01             3.352308E+01
                  11.3400            -2.742324E+01            -4.992043E+01            -2.033595E+01             6.243429E+00             2.720700E+01             2.014576E+01             3.385370E+01
                  11.5200            -2.784658E+01            -4.998559E+01            -2.071604E+01             6.246639E+00             2.760310E+01             2.016754E+01             3.418568E+01
                  11.7000            -2.826974E+01            -5.005123E+01            -2.109591E+01             6.249520E+00             2.799868E+01             2.018997E+01             3.451899E+01
                  11.8800            -2.869273E+01            -5.011735E+01            -2.147554E+01             6.252068E+00             2.839371E+01             2.021307E+01             3.485356E+01
                  12.0600            -2.911553E+01            -5.018396E+01            -2.185495E+01             6.254279E+00             2.878818E+01             2.023688E+01             3.518936E+01
                  12.2400            -2.953816E+01            -5.025106E+01            -2.223411E+01             6.256147E+00             2.918209E+01             2.026142E+01             3.552632E+01
                  12.4200            -2.996059E+01            -5.031865E+01            -2.261304E+01             6.257670E+00             2.957542E+01             2.028672E+01             3.586442E+01
                  12.6000            -3.038283E+01            -5.038674E+01            -2.299172E+01             6.258844E+00             2.996815E+01             2.031279E+01             3.620359E+01
                  12.7800            -3.080486E+01            -5.045532E+01            -2.337016E+01             6.259667E+00             3.036028E+01             2.033967E+01             3.654379E+01
                  12.9600            -3.122669E+01            -5.052439E+01            -2.374834E+01             6.260135E+00             3.075178E+01             2.036736E+01             3.688498E+01
                  13.1400            -3.164830E+01            -5.059395E+01            -2.412626E+01             6.260247E+00             3.114266E+01             2.039589E+01             3.722711E+01
                  13.3200            -3.206969E+01            -5.066399E+01            -2.450392E+01             6.260001E+00             3.153289E+01             2.042527E+01             3.757013E+01
                  13.5000            -3.249084E+01            -5.073452E+01            -2.488131E+01             6.259395E+00             3.192247E+01             2.045551E+01             3.791401E+01
                  13.6800            -3.291176E+01            -5.080552E+01            -2.525842E+01             6.258430E+00             3.231138E+01             2.048664E+01             3.825869E+01
                  13.8600            -3.333242E+01            -5.087698E+01            -2.563526E+01             6.257103E+00             3.269961E+01             2.051866E+01             3.860414E+01
                  14.0400            -3.375282E+01            -5.094891E+01            -2.601181E+01             6.255417E+00             3.308714E+01             2.055158E+01             3.895031E+01
                  14.2200            -3.417295E+01            -5.102129E+01            -2.638806E+01             6.253369E+00             3.347398E+01             2.058540E+01             3.929715E+01
                  14.4000            -3.459279E+01            -5.109411E+01            -2.676401E+01             6.250963E+00             3.386010E+01             2.062013E+01             3.964462E+01
                  14.5800            -3.501234E+01            -5.116737E+01            -2.713966E+01             6.248199E+00             3.424549E+01             2.065578E+01             3.999269E+01
                  14.7600            -3.543158E+01            -5.124104E+01            -2.751499E+01             6.245078E+00             3.463015E+01             2.069234E+01             4.034130E+01
                  14.9400            -3.585050E+01            -5.131512E+01            -2.788999E+01             6.241602E+00             3.501407E+01             2.072981E+01             4.069042E+01
                  15.1200            -3.626908E+01            -5.138960E+01            -2.826467E+01             6.237775E+00             3.539723E+01             2.076819E+01             4.104000E+01
                  15.3000            -3.668731E+01            -5.146445E+01            -2.863901E+01             6.233598E+00             3.577962E+01             2.080748E+01             4.139000E+01
                  15.4800            -3.710519E+01            -5.153967E+01            -2.901300E+01             6.229075E+00             3.616124E+01             2.084765E+01             4.174039E+01
                  15.6600            -3.752268E+01            -5.161524E+01            -2.938664E+01             6.224209E+00             3.654208E+01             2.088871E+01             4.209111E+01
                  15.8400            -3.793978E+01            -5.169115E+01            -2.975991E+01             6.219004E+00             3.692212E+01             2.093065E+01             4.244214E+01
                  16.0200            -3.835647E+01            -5.176736E+01            -3.013281E+01             6.213464E+00             3.730136E+01             2.097344E+01             4.279342E+01
                  16.2000            -3.877273E+01            -5.184388E+01            -3.050533E+01             6.207594E+00             3.767980E+01             2.101707E+01             4.314492E+01
                  16.3800            -3.918856E+01            -5.192068E+01            -3.087745E+01             6.201397E+00             3.805742E+01             2.106152E+01             4.349661E+01
                  16.5600            -3.960392E+01            -5.199774E+01            -3.124918E+01             6.194880E+00             3.843421E+01             2.110678E+01             4.384843E+01
                  16.7400            -4.001881E+01            -5.207504E+01            -3.162049E+01             6.188046E+00             3.881018E+01             2.115283E+01             4.420036E+01
                  16.9200            -4.043320E+01            -5.215257E+01            -3.199139E+01             6.180901E+00             3.918530E+01             2.119963E+01             4.455236E+01
                  17.1000            -4.084709E+01            -5.223030E+01            -3.236185E+01             6.173451E+00             3.955959E+01             2.124717E+01             4.490438E+01
                  17.2800            -4.126045E+01            -5.230822E+01            -3.273188E+01             6.165701E+00             3.993302E+01             2.129542E+01             4.525639E+01
                  17.4600            -4.167326E+01            -5.238630E+01            -3.310146E+01             6.157657E+00             4.030560E+01             2.134435E+01             4.560836E+01
                  17.6400            -4.208551E+01            -5.246452E+01            -3.347058E+01             6.149324E+00             4.067731E+01             2.139393E+01             4.596025E+01
                  17.8200            -4.249717E+01            -5.254287E+01            -3.383923E+01             6.140709E+00             4.104816E+01             2.144414E+01             4.631202E+01
                  18.0000            -4.290824E+01            -5.262132E+01            -3.420740E+01             6.131818E+00             4.141814E+01             2.149494E+01             4.666364E+01
                  18.1800            -4.331869E+01            -5.269986E+01            -3.457508E+01             6.122656E+00             4.178725E+01             2.154630E+01             4.701507E+01
                  18.3600            -4.372851E+01            -5.277846E+01            -3.494226E+01             6.113229E+00             4.215547E+01             2.159819E+01             4.736629E+01
                  18.5400            -4.413767E+01            -5.285710E+01            -3.530893E+01             6.103544E+00             4.252281E+01             2.165058E+01             4.771726E+01
                  18.7200            -4.454615E+01            -5.293577E+01            -3.567509E+01             6.093606E+00             4.288926E+01             2.170342E+01             4.806794E+01
                  18.9000            -4.495395E+01            -5.301444E+01            -3.604071E+01             6.083422E+00             4.325482E+01             2.175669E+01             4.841832E+01
                  19.0800            -4.536105E+01            -5.309310E+01            -3.640580E+01             6.072997E+00             4.361949E+01             2.181035E+01             4.876834E+01
                  19.2600            -4.576742E+01            -5.317172E+01            -3.677034E+01             6.062337E+00             4.398326E+01             2.186436E+01             4.911800E+01
                  19.4400            -4.617304E+01            -5.325029E+01            -3.713432E+01             6.051448E+00             4.434614E+01             2.191870E+01             4.946725E+01
