                   Degree                T_ecc[Nm]         T_inertia_ro[Nm]         T_inertia_vh[Nm]              T_com_C[Nm]      T_total_no_loss[Nm]               T_loss[Nm]             T_bear_s[Nm]         T_inst_total[Nm]
                  10.4400             1.029883E-01            -9.967339E-02            -2.988361E-04             1.840965E-02            -8.156258E-02             5.724252E-01             7.713342E-02             4.908626E-01
                  10.6200             1.035215E-01            -1.012758E-01            -3.036058E-04             1.871248E-02            -8.286688E-02             5.732457E-01             7.714681E-02             4.903788E-01
                  10.8000             1.040555E-01            -1.028723E-01            -3.083565E-04             1.901476E-02            -8.416591E-02             5.740641E-01             7.715865E-02             4.898982E-01
                  10.9800             1.045904E-01            -1.044630E-01            -3.130878E-04             1.931651E-02            -8.545956E-02             5.748803E-01             7.716891E-02             4.894207E-01
                  11.1600             1.051260E-01            -1.060477E-01            -3.177995E-04             1.961773E-02            -8.674774E-02             5.756941E-01             7.717761E-02             4.889463E-01
                  11.3400             1.056622E-01            -1.076263E-01            -3.224913E-04             1.991844E-02            -8.803035E-02             5.765054E-01             7.718474E-02             4.884750E-01
                  11.5200             1.061990E-01            -1.091988E-01            -3.271629E-04             2.021864E-02            -8.930730E-02             5.773142E-01             7.719030E-02             4.880069E-01
                  11.7000             1.067362E-01            -1.107650E-01            -3.318140E-04             2.051836E-02            -9.057847E-02             5.781202E-01             7.719426E-02             4.875418E-01
                  11.8800             1.072738E-01            -1.123249E-01            -3.364444E-04             2.081759E-02            -9.184377E-02             5.789235E-01             7.719662E-02             4.870798E-01
                  12.0600             1.078117E-01            -1.138784E-01            -3.410537E-04             2.111636E-02            -9.310311E-02             5.797239E-01             7.719735E-02             4.866208E-01
                  12.2400             1.083499E-01            -1.154254E-01            -3.456417E-04             2.141467E-02            -9.435638E-02             5.805212E-01             7.719640E-02             4.861649E-01
                  12.4200             1.088882E-01            -1.169658E-01            -3.502082E-04             2.171255E-02            -9.560348E-02             5.813154E-01             7.719371E-02             4.857119E-01
                  12.6000             1.094267E-01            -1.184996E-01            -3.547529E-04             2.201001E-02            -9.684432E-02             5.821062E-01             7.718923E-02             4.852619E-01
                  12.7800             1.099653E-01            -1.200266E-01            -3.592754E-04             2.230706E-02            -9.807879E-02             5.828936E-01             7.718289E-02             4.848149E-01
                  12.9600             1.105038E-01            -1.215467E-01            -3.637756E-04             2.260371E-02            -9.930680E-02             5.836774E-01             7.717461E-02             4.843706E-01
                  13.1400             1.110423E-01            -1.230600E-01            -3.682531E-04             2.290000E-02            -1.005282E-01             5.844575E-01             7.716431E-02             4.839293E-01
                  13.3200             1.115807E-01            -1.245662E-01            -3.727077E-04             2.319592E-02            -1.017430E-01             5.852337E-01             7.715191E-02             4.834907E-01
                  13.5000             1.121190E-01            -1.260654E-01            -3.771392E-04             2.349150E-02            -1.029511E-01             5.860059E-01             7.713734E-02             4.830549E-01
                  13.6800             1.126571E-01            -1.275574E-01            -3.815473E-04             2.378676E-02            -1.041522E-01             5.867740E-01             7.712053E-02             4.826218E-01
                  13.8600             1.131950E-01            -1.290422E-01            -3.859317E-04             2.408171E-02            -1.053464E-01             5.875379E-01             7.710145E-02             4.821915E-01
                  14.0400             1.137326E-01            -1.305197E-01            -3.902922E-04             2.437637E-02            -1.065336E-01             5.882976E-01             7.708008E-02             4.817640E-01
                  14.2200             1.142700E-01            -1.319897E-01            -3.946285E-04             2.467076E-02            -1.077136E-01             5.890530E-01             7.705645E-02             4.813395E-01
                  14.4000             1.148070E-01            -1.334523E-01            -3.989404E-04             2.496489E-02            -1.088863E-01             5.898042E-01             7.703060E-02             4.809179E-01
