                   Degree   dvdtheta1_suc[mm3/rad]   dvdtheta1_com[mm3/rad]
                  79.2000             3.930618E-06            -3.930618E-06
                  79.3800             3.946659E-06            -3.946659E-06
                  79.5600             3.962707E-06            -3.962707E-06
                  79.7400             3.978763E-06            -3.978763E-06
                  79.9200             3.994825E-06            -3.994825E-06
                  80.1000             4.010895E-06            -4.010895E-06
                  80.2800             4.026971E-06            -4.026971E-06
                  80.4600             4.043053E-06            -4.043053E-06
                  80.6400             4.059142E-06            -4.059142E-06
                  80.8200             4.075238E-06            -4.075238E-06
                  81.0000             4.091339E-06            -4.091339E-06
                  81.1800             4.107446E-06            -4.107446E-06
                  81.3600             4.123559E-06            -4.123559E-06
                  81.5400             4.139678E-06            -4.139678E-06
                  81.7200             4.155801E-06            -4.155801E-06
                  81.9000             4.171931E-06            -4.171931E-06
                  82.0800             4.188065E-06            -4.188065E-06
                  82.2600             4.204204E-06            -4.204204E-06
                  82.4400             4.220348E-06            -4.220348E-06
                  82.6200             4.236497E-06            -4.236497E-06
                  82.8000             4.252650E-06            -4.252650E-06
                  82.9800             4.268807E-06            -4.268807E-06
                  83.1600             4.284968E-06            -4.284968E-06
                  83.3400             4.301134E-06            -4.301134E-06
                  83.5200             4.317303E-06            -4.317303E-06
                  83.7000             4.333476E-06            -4.333476E-06
                  83.8800             4.349652E-06            -4.349652E-06
                  84.0600             4.365832E-06            -4.365832E-06
                  84.2400             4.382015E-06            -4.382015E-06
                  84.4200             4.398201E-06            -4.398201E-06
                  84.6000             4.414390E-06            -4.414390E-06
                  84.7800             4.430581E-06            -4.430581E-06
                  84.9600             4.446775E-06            -4.446775E-06
                  85.1400             4.462972E-06            -4.462972E-06
                  85.3200             4.479170E-06            -4.479170E-06
                  85.5000             4.495371E-06            -4.495371E-06
                  85.6800             4.511574E-06            -4.511574E-06
                  85.8600             4.527778E-06            -4.527778E-06
                  86.0400             4.543984E-06            -4.543984E-06
                  86.2200             4.560192E-06            -4.560192E-06
                  86.4000             4.576401E-06            -4.576401E-06
                  86.5800             4.592611E-06            -4.592611E-06
                  86.7600             4.608822E-06            -4.608822E-06
                  86.9400             4.625034E-06            -4.625034E-06
                  87.1200             4.641246E-06            -4.641246E-06
                  87.3000             4.657459E-06            -4.657459E-06
                  87.4800             4.673672E-06            -4.673672E-06
                  87.6600             4.689886E-06            -4.689886E-06
                  87.8400             4.706100E-06            -4.706100E-06
                  88.0200             4.722313E-06            -4.722313E-06
                  88.2000             4.738526E-06            -4.738526E-06
                  88.3800             4.754739E-06            -4.754739E-06
                  88.5600             4.770952E-06            -4.770952E-06
                  88.7400             4.787163E-06            -4.787163E-06
                  88.9200             4.803374E-06            -4.803374E-06
                  89.1000             4.819584E-06            -4.819584E-06
                  89.2800             4.835792E-06            -4.835792E-06
                  89.4600             4.851999E-06            -4.851999E-06
                  89.6400             4.868205E-06            -4.868205E-06
                  89.8200             4.884409E-06            -4.884409E-06
                  90.0000             4.900611E-06            -4.900611E-06
                  90.1800             4.916812E-06            -4.916812E-06
                  90.3600             4.933010E-06            -4.933010E-06
                  90.5400             4.949206E-06            -4.949206E-06
                  90.7200             4.965399E-06            -4.965399E-06
                  90.9000             4.981590E-06            -4.981590E-06
                  91.0800             4.997779E-06            -4.997779E-06
                  91.2600             5.013964E-06            -5.013964E-06
                  91.4400             5.030147E-06            -5.030147E-06
                  91.6200             5.046326E-06            -5.046326E-06
                  91.8000             5.062502E-06            -5.062502E-06
                  91.9800             5.078675E-06            -5.078675E-06
                  92.1600             5.094844E-06            -5.094844E-06
                  92.3400             5.111009E-06            -5.111009E-06
                  92.5200             5.127170E-06            -5.127170E-06
                  92.7000             5.143328E-06            -5.143328E-06
                  92.8800             5.159481E-06            -5.159481E-06
                  93.0600             5.175629E-06            -5.175629E-06
                  93.2400             5.191774E-06            -5.191774E-06
                  93.4200             5.207913E-06            -5.207913E-06
                  93.6000             5.224048E-06            -5.224048E-06
                  93.7800             5.240178E-06            -5.240178E-06
                  93.9600             5.256302E-06            -5.256302E-06
                  94.1400             5.272422E-06            -5.272422E-06
                  94.3200             5.288536E-06            -5.288536E-06
                  94.5000             5.304644E-06            -5.304644E-06
                  94.6800             5.320747E-06            -5.320747E-06
                  94.8600             5.336844E-06            -5.336844E-06
                  95.0400             5.352935E-06            -5.352935E-06
                  95.2200             5.369020E-06            -5.369020E-06
                  95.4000             5.385099E-06            -5.385099E-06
                  95.5800             5.401171E-06            -5.401171E-06
                  95.7600             5.417237E-06            -5.417237E-06
                  95.9400             5.433296E-06            -5.433296E-06
                  96.1200             5.449348E-06            -5.449348E-06
                  96.3000             5.465393E-06            -5.465393E-06
                  96.4800             5.481431E-06            -5.481431E-06
                  96.6600             5.497461E-06            -5.497461E-06
                  96.8400             5.513484E-06            -5.513484E-06
                  97.0200             5.529500E-06            -5.529500E-06
                  97.2000             5.545508E-06            -5.545508E-06
