                   Degree          P_inst_total[W]  P_inst_total_no_loss[W]              P_f_loss[W]            P_thr_loss[W]          P_inertia_ro[W]          P_inertia_vh[W]                 P_com[W]              P_bear_s[W]
                  20.1600             6.528140E+01            -3.599531E+01             1.012767E+02             0.000000E+00            -4.275062E+01            -1.270803E-01             6.882388E+00             1.003081E+01
                  20.3400             6.525240E+01            -3.622433E+01             1.014767E+02             0.000000E+00            -4.303642E+01            -1.279027E-01             6.939996E+00             1.003226E+01
                  20.5200             6.522524E+01            -3.645111E+01             1.016763E+02             0.000000E+00            -4.331985E+01            -1.287174E-01             6.997450E+00             1.003373E+01
                  20.7000             6.519990E+01            -3.667565E+01             1.018755E+02             0.000000E+00            -4.360088E+01            -1.295244E-01             7.054750E+00             1.003521E+01
                  20.8800             6.517639E+01            -3.689794E+01             1.020743E+02             0.000000E+00            -4.387951E+01            -1.303237E-01             7.111897E+00             1.003672E+01
                  21.0600             6.514744E+01            -3.711795E+01             1.022654E+02             0.000000E+00            -4.415573E+01            -1.311153E-01             7.168889E+00             1.003096E+01
                  21.2400             6.512771E+01            -3.733569E+01             1.024634E+02             0.000000E+00            -4.442951E+01            -1.318991E-01             7.225727E+00             1.003257E+01
                  21.4200             6.510982E+01            -3.755112E+01             1.026609E+02             0.000000E+00            -4.470086E+01            -1.326750E-01             7.282412E+00             1.003420E+01
                  21.6000             6.509379E+01            -3.776425E+01             1.028580E+02             0.000000E+00            -4.496975E+01            -1.334431E-01             7.338944E+00             1.003585E+01
                  21.7800             6.507962E+01            -3.797505E+01             1.030547E+02             0.000000E+00            -4.523617E+01            -1.342032E-01             7.395324E+00             1.003750E+01
                  21.9600             6.506051E+01            -3.818352E+01             1.032440E+02             0.000000E+00            -4.550012E+01            -1.349554E-01             7.451551E+00             1.003235E+01
                  22.1400             6.505017E+01            -3.838965E+01             1.034398E+02             0.000000E+00            -4.576157E+01            -1.356997E-01             7.507628E+00             1.003411E+01
                  22.3200             6.504171E+01            -3.859341E+01             1.036351E+02             0.000000E+00            -4.602053E+01            -1.364359E-01             7.563553E+00             1.003588E+01
                  22.5000             6.503514E+01            -3.879480E+01             1.038299E+02             0.000000E+00            -4.627696E+01            -1.371641E-01             7.619329E+00             1.003765E+01
                  22.6800             6.502405E+01            -3.899380E+01             1.040179E+02             0.000000E+00            -4.653088E+01            -1.378843E-01             7.674956E+00             1.003301E+01
