                   Degree             Length_v[mm]
                 128.8800             7.261022E+00
                 129.0600             7.271090E+00
                 129.2400             7.281131E+00
                 129.4200             7.291143E+00
                 129.6000             7.301128E+00
                 129.7800             7.311084E+00
                 129.9600             7.321013E+00
                 130.1400             7.330913E+00
                 130.3200             7.340786E+00
                 130.5000             7.350630E+00
                 130.6800             7.360445E+00
                 130.8600             7.370232E+00
                 131.0400             7.379991E+00
                 131.2200             7.389721E+00
                 131.4000             7.399422E+00
                 131.5800             7.409094E+00
                 131.7600             7.418738E+00
                 131.9400             7.428352E+00
                 132.1200             7.437938E+00
                 132.3000             7.447494E+00
                 132.4800             7.457021E+00
                 132.6600             7.466519E+00
                 132.8400             7.475988E+00
                 133.0200             7.485427E+00
                 133.2000             7.494837E+00
                 133.3800             7.504218E+00
                 133.5600             7.513568E+00
                 133.7400             7.522889E+00
                 133.9200             7.532180E+00
                 134.1000             7.541442E+00
                 134.2800             7.550673E+00
                 134.4600             7.559874E+00
                 134.6400             7.569046E+00
                 134.8200             7.578187E+00
                 135.0000             7.587298E+00
                 135.1800             7.596379E+00
                 135.3600             7.605429E+00
                 135.5400             7.614449E+00
                 135.7200             7.623438E+00
                 135.9000             7.632397E+00
                 136.0800             7.641325E+00
                 136.2600             7.650222E+00
                 136.4400             7.659089E+00
                 136.6200             7.667925E+00
                 136.8000             7.676730E+00
                 136.9800             7.685503E+00
                 137.1600             7.694246E+00
                 137.3400             7.702958E+00
                 137.5200             7.711638E+00
                 137.7000             7.720287E+00
                 137.8800             7.728905E+00
                 138.0600             7.737491E+00
                 138.2400             7.746046E+00
                 138.4200             7.754569E+00
                 138.6000             7.763061E+00
                 138.7800             7.771521E+00
                 138.9600             7.779949E+00
                 139.1400             7.788345E+00
                 139.3200             7.796710E+00
                 139.5000             7.805042E+00
                 139.6800             7.813343E+00
                 139.8600             7.821611E+00
                 140.0400             7.829848E+00
                 140.2200             7.838052E+00
                 140.4000             7.846224E+00
                 140.5800             7.854363E+00
                 140.7600             7.862470E+00
                 140.9400             7.870545E+00
                 141.1200             7.878587E+00
                 141.3000             7.886596E+00
                 141.4800             7.894573E+00
                 141.6600             7.902517E+00
                 141.8400             7.910428E+00
                 142.0200             7.918307E+00
                 142.2000             7.926152E+00
                 142.3800             7.933965E+00
                 142.5600             7.941744E+00
                 142.7400             7.949490E+00
                 142.9200             7.957204E+00
                 143.1000             7.964884E+00
                 143.2800             7.972531E+00
                 143.4600             7.980144E+00
                 143.6400             7.987724E+00
                 143.8200             7.995271E+00
                 144.0000             8.002784E+00
                 144.1800             8.010263E+00
                 144.3600             8.017709E+00
                 144.5400             8.025121E+00
                 144.7200             8.032500E+00
                 144.9000             8.039844E+00
                 145.0800             8.047155E+00
                 145.2600             8.054432E+00
                 145.4400             8.061675E+00
                 145.6200             8.068884E+00
                 145.8000             8.076058E+00
                 145.9800             8.083199E+00
                 146.1600             8.090305E+00
                 146.3400             8.097378E+00
                 146.5200             8.104415E+00
                 146.7000             8.111419E+00
                 146.8800             8.118388E+00
                 147.0600             8.125323E+00
                 147.2400             8.132223E+00
                 147.4200             8.139088E+00
                 147.6000             8.145919E+00
                 147.7800             8.152715E+00
                 147.9600             8.159477E+00
                 148.1400             8.166204E+00
                 148.3200             8.172895E+00
                 148.5000             8.179552E+00
                 148.6800             8.186174E+00
                 148.8600             8.192762E+00
                 149.0400             8.199313E+00
                 149.2200             8.205830E+00
                 149.4000             8.212312E+00
                 149.5800             8.218759E+00
                 149.7600             8.225170E+00
                 149.9400             8.231546E+00
                 150.1200             8.237887E+00
                 150.3000             8.244192E+00
                 150.4800             8.250462E+00
                 150.6600             8.256696E+00
                 150.8400             8.262895E+00
                 151.0200             8.269058E+00
                 151.2000             8.275186E+00
                 151.3800             8.281278E+00
                 151.5600             8.287334E+00
                 151.7400             8.293354E+00
                 151.9200             8.299339E+00
                 152.1000             8.305288E+00
                 152.2800             8.311201E+00
                 152.4600             8.317077E+00
                 152.6400             8.322918E+00
                 152.8200             8.328723E+00
                 153.0000             8.334492E+00
                 153.1800             8.340224E+00
                 153.3600             8.345921E+00
                 153.5400             8.351581E+00
                 153.7200             8.357205E+00
                 153.9000             8.362793E+00
                 154.0800             8.368344E+00
                 154.2600             8.373859E+00
                 154.4400             8.379337E+00
                 154.6200             8.384779E+00
                 154.8000             8.390185E+00
                 154.9800             8.395554E+00
                 155.1600             8.400886E+00
                 155.3400             8.406182E+00
                 155.5200             8.411441E+00
                 155.7000             8.416663E+00
                 155.8800             8.421849E+00
                 156.0600             8.426997E+00
                 156.2400             8.432109E+00
                 156.4200             8.437184E+00
                 156.6000             8.442222E+00
                 156.7800             8.447223E+00
                 156.9600             8.452188E+00
                 157.1400             8.457115E+00
                 157.3200             8.462005E+00
                 157.5000             8.466858E+00
                 157.6800             8.471673E+00
                 157.8600             8.476452E+00
                 158.0400             8.481193E+00
                 158.2200             8.485898E+00
                 158.4000             8.490564E+00
                 158.5800             8.495194E+00
                 158.7600             8.499786E+00
                 158.9400             8.504341E+00
                 159.1200             8.508858E+00
                 159.3000             8.513338E+00
                 159.4800             8.517780E+00
                 159.6600             8.522185E+00
                 159.8400             8.526553E+00
                 160.0200             8.530882E+00
                 160.2000             8.535174E+00
                 160.3800             8.539429E+00
                 160.5600             8.543646E+00
                 160.7400             8.547825E+00
                 160.9200             8.551966E+00
                 161.1000             8.556069E+00
                 161.2800             8.560135E+00
                 161.4600             8.564163E+00
                 161.6400             8.568153E+00
                 161.8200             8.572105E+00
                 162.0000             8.576019E+00
                 162.1800             8.579895E+00
                 162.3600             8.583733E+00
                 162.5400             8.587533E+00
                 162.7200             8.591295E+00
                 162.9000             8.595019E+00
                 163.0800             8.598705E+00
