                   Degree          h_min[micron-m]               p_max[MPa]           Q_martin[cc/s]                    Eccen        Att.Angle[degree]
                  36.5400             2.374641E+01             1.061550E-01             2.357967E-01             5.000755E-01            -1.654364E-02
                  36.7200             2.374629E+01             1.064864E-01             2.359655E-01             5.000780E-01            -1.904953E-02
                  36.9000             2.374617E+01             1.068162E-01             2.361333E-01             5.000806E-01            -2.113209E-02
                  37.0800             2.374605E+01             1.071444E-01             2.362997E-01             5.000832E-01            -2.280914E-02
                  37.2600             2.374593E+01             1.074707E-01             2.364644E-01             5.000857E-01            -2.410180E-02
                  37.4400             2.374580E+01             1.077957E-01             2.366272E-01             5.000883E-01            -2.502946E-02
                  37.6200             2.374568E+01             1.081189E-01             2.367881E-01             5.000909E-01            -2.560812E-02
                  37.8000             2.374556E+01             1.084402E-01             2.369470E-01             5.000935E-01            -2.585754E-02
                  37.9800             2.374555E+01             1.087522E-01             2.370628E-01             5.000937E-01            -1.296997E-02
                  38.1600             2.374543E+01             1.090704E-01             2.372190E-01             5.000963E-01            -1.292073E-02
                  38.3400             2.374530E+01             1.093871E-01             2.373740E-01             5.000989E-01            -1.258064E-02
                  38.5200             2.374517E+01             1.097022E-01             2.375277E-01             5.001016E-01            -1.196259E-02
                  38.7000             2.374493E+01             1.100214E-01             2.377132E-01             5.001067E-01            -2.269646E-02
                  38.8800             2.374481E+01             1.103327E-01             2.378617E-01             5.001094E-01            -2.128548E-02
                  39.0600             2.374468E+01             1.106420E-01             2.380092E-01             5.001120E-01            -1.964570E-02
                  39.2400             2.374455E+01             1.109504E-01             2.381556E-01             5.001147E-01            -1.778756E-02
                  39.4200             2.374442E+01             1.112571E-01             2.383015E-01             5.001174E-01            -1.572589E-02
                  39.6000             2.374430E+01             1.115623E-01             2.384468E-01             5.001201E-01            -1.347019E-02
                  39.7800             2.374417E+01             1.118660E-01             2.385920E-01             5.001228E-01            -1.103097E-02
                  39.9600             2.374392E+01             1.121725E-01             2.387595E-01             5.001280E-01            -1.819282E-02
                  40.1400             2.374379E+01             1.124722E-01             2.388998E-01             5.001308E-01            -1.517945E-02
                  40.3200             2.374366E+01             1.127714E-01             2.390406E-01             5.001335E-01            -1.201729E-02
                  40.5000             2.374341E+01             1.130726E-01             2.392030E-01             5.001388E-01            -1.779631E-02
                  40.6800             2.374328E+01             1.133681E-01             2.393398E-01             5.001416E-01            -1.414220E-02
                  40.8600             2.374315E+01             1.136619E-01             2.394779E-01             5.001443E-01            -1.036918E-02
                  41.0400             2.374289E+01             1.139578E-01             2.396333E-01             5.001496E-01            -1.492306E-02
                  41.2200             2.374276E+01             1.142488E-01             2.397687E-01             5.001524E-01            -1.072969E-02
                  41.4000             2.374250E+01             1.145415E-01             2.399210E-01             5.001578E-01            -1.447889E-02
                  41.5800             2.374237E+01             1.148293E-01             2.400545E-01             5.001606E-01            -9.910826E-03
                  41.7600             2.374212E+01             1.151183E-01             2.402032E-01             5.001660E-01            -1.291853E-02
                  41.9400             2.374198E+01             1.154031E-01             2.403360E-01             5.001688E-01            -8.017714E-03
                  42.1200             2.374172E+01             1.156888E-01             2.404810E-01             5.001742E-01            -1.034352E-02
