                   Degree                T_ocsc[K]                T_ocdc[K]                T_rosc[K]                T_rodc[K]              T_roller[K]               T_uocsc[K]               T_locsc[K]               T_uocdc[K]               T_locdc[K]
                   9.7200             3.439355E+02             3.450178E+02             3.463293E+02             3.474721E+02             3.481463E+02             3.451019E+02             3.440693E+02             3.455382E+02             3.446008E+02
                   9.9000             3.439041E+02             3.449968E+02             3.462992E+02             3.474509E+02             3.481243E+02             3.450722E+02             3.440382E+02             3.455169E+02             3.445791E+02
                  10.0800             3.438729E+02             3.449758E+02             3.462694E+02             3.474299E+02             3.481024E+02             3.450425E+02             3.440074E+02             3.454957E+02             3.445575E+02
                  10.2600             3.438419E+02             3.449550E+02             3.462397E+02             3.474089E+02             3.480805E+02             3.450130E+02             3.439766E+02             3.454746E+02             3.445359E+02
                  10.4400             3.438110E+02             3.449342E+02             3.462103E+02             3.473881E+02             3.480587E+02             3.449836E+02             3.439461E+02             3.454536E+02             3.445145E+02
                  10.6200             3.437802E+02             3.449136E+02             3.461810E+02             3.473673E+02             3.480370E+02             3.449543E+02             3.439156E+02             3.454326E+02             3.444931E+02
                  10.8000             3.437497E+02             3.448930E+02             3.461519E+02             3.473465E+02             3.480154E+02             3.449251E+02             3.438853E+02             3.454117E+02             3.444718E+02
                  10.9800             3.437192E+02             3.448725E+02             3.461230E+02             3.473259E+02             3.479938E+02             3.448960E+02             3.438551E+02             3.453909E+02             3.444507E+02
                  11.1600             3.436889E+02             3.448520E+02             3.460942E+02             3.473053E+02             3.479723E+02             3.448670E+02             3.438251E+02             3.453702E+02             3.444296E+02
                  11.3400             3.436587E+02             3.448317E+02             3.460656E+02             3.472847E+02             3.479508E+02             3.448381E+02             3.437951E+02             3.453495E+02             3.444086E+02
                  11.5200             3.436287E+02             3.448113E+02             3.460372E+02             3.472643E+02             3.479294E+02             3.448092E+02             3.437653E+02             3.453290E+02             3.443876E+02
                  11.7000             3.435987E+02             3.447911E+02             3.460089E+02             3.472438E+02             3.479081E+02             3.447805E+02             3.437356E+02             3.453084E+02             3.443667E+02
                  11.8800             3.435689E+02             3.447709E+02             3.459807E+02             3.472235E+02             3.478867E+02             3.447518E+02             3.437060E+02             3.452880E+02             3.443459E+02
                  12.0600             3.435392E+02             3.447508E+02             3.459527E+02             3.472032E+02             3.478655E+02             3.447232E+02             3.436765E+02             3.452676E+02             3.443252E+02
                  12.2400             3.435095E+02             3.447308E+02             3.459248E+02             3.471829E+02             3.478443E+02             3.446947E+02             3.436471E+02             3.452472E+02             3.443045E+02
                  12.4200             3.434800E+02             3.447107E+02             3.458970E+02             3.471627E+02             3.478231E+02             3.446662E+02             3.436178E+02             3.452269E+02             3.442839E+02
                  12.6000             3.434506E+02             3.446908E+02             3.458693E+02             3.471425E+02             3.478020E+02             3.446378E+02             3.435886E+02             3.452066E+02             3.442634E+02
                  12.7800             3.434212E+02             3.446709E+02             3.458417E+02             3.471224E+02             3.477808E+02             3.446095E+02             3.435594E+02             3.451864E+02             3.442428E+02
                  12.9600             3.433919E+02             3.446510E+02             3.458142E+02             3.471022E+02             3.477598E+02             3.445812E+02             3.435304E+02             3.451662E+02             3.442224E+02
                  13.1400             3.433627E+02             3.446311E+02             3.457868E+02             3.470822E+02             3.477387E+02             3.445530E+02             3.435014E+02             3.451460E+02             3.442019E+02
                  13.3200             3.433335E+02             3.446113E+02             3.457595E+02             3.470621E+02             3.477177E+02             3.445248E+02             3.434724E+02             3.451259E+02             3.441815E+02
                  13.5000             3.433044E+02             3.445915E+02             3.457322E+02             3.470420E+02             3.476966E+02             3.444966E+02             3.434436E+02             3.451058E+02             3.441612E+02
                  13.6800             3.432754E+02             3.445717E+02             3.457051E+02             3.470220E+02             3.476756E+02             3.444685E+02             3.434148E+02             3.450857E+02             3.441408E+02
                  13.8600             3.432464E+02             3.445520E+02             3.456780E+02             3.470020E+02             3.476546E+02             3.444404E+02             3.433860E+02             3.450657E+02             3.441205E+02
                  14.0400             3.432175E+02             3.445322E+02             3.456509E+02             3.469820E+02             3.476336E+02             3.444124E+02             3.433573E+02             3.450456E+02             3.441002E+02
                  14.2200             3.431886E+02             3.445125E+02             3.456239E+02             3.469620E+02             3.476126E+02             3.443844E+02             3.433286E+02             3.450255E+02             3.440799E+02
                  14.4000             3.431597E+02             3.444928E+02             3.455970E+02             3.469420E+02             3.475916E+02             3.443563E+02             3.433000E+02             3.450055E+02             3.440596E+02
                  14.5800             3.431309E+02             3.444730E+02             3.455701E+02             3.469219E+02             3.475705E+02             3.443283E+02             3.432713E+02             3.449855E+02             3.440393E+02
                  14.7600             3.431020E+02             3.444533E+02             3.455432E+02             3.469019E+02             3.475495E+02             3.443004E+02             3.432428E+02             3.449654E+02             3.440190E+02
                  14.9400             3.430732E+02             3.444336E+02             3.455164E+02             3.468819E+02             3.475284E+02             3.442724E+02             3.432142E+02             3.449453E+02             3.439987E+02
                  15.1200             3.430445E+02             3.444138E+02             3.454896E+02             3.468618E+02             3.475074E+02             3.442444E+02             3.431856E+02             3.449253E+02             3.439784E+02
                  15.3000             3.430157E+02             3.443940E+02             3.454629E+02             3.468417E+02             3.474862E+02             3.442164E+02             3.431571E+02             3.449052E+02             3.439581E+02
                  15.4800             3.429869E+02             3.443742E+02             3.454361E+02             3.468216E+02             3.474651E+02             3.441884E+02             3.431285E+02             3.448850E+02             3.439377E+02
                  15.6600             3.429582E+02             3.443544E+02             3.454094E+02             3.468015E+02             3.474439E+02             3.441604E+02             3.431000E+02             3.448649E+02             3.439173E+02
                  15.8400             3.429294E+02             3.443345E+02             3.453826E+02             3.467813E+02             3.474227E+02             3.441324E+02             3.430714E+02             3.448447E+02             3.438969E+02
                  16.0200             3.429006E+02             3.443146E+02             3.453559E+02             3.467611E+02             3.474015E+02             3.441043E+02             3.430429E+02             3.448245E+02             3.438764E+02
                  16.2000             3.428718E+02             3.442947E+02             3.453292E+02             3.467409E+02             3.473801E+02             3.440763E+02             3.430143E+02             3.448043E+02             3.438559E+02
                  16.3800             3.428430E+02             3.442747E+02             3.453025E+02             3.467206E+02             3.473588E+02             3.440482E+02             3.429857E+02             3.447840E+02             3.438354E+02
                  16.5600             3.428142E+02             3.442547E+02             3.452757E+02             3.467003E+02             3.473374E+02             3.440201E+02             3.429571E+02             3.447636E+02             3.438148E+02
                  16.7400             3.427853E+02             3.442347E+02             3.452490E+02             3.466799E+02             3.473159E+02             3.439919E+02             3.429284E+02             3.447432E+02             3.437941E+02
                  16.9200             3.427565E+02             3.442145E+02             3.452222E+02             3.466594E+02             3.472944E+02             3.439637E+02             3.428997E+02             3.447228E+02             3.437734E+02
                  17.1000             3.427276E+02             3.441943E+02             3.451955E+02             3.466389E+02             3.472728E+02             3.439355E+02             3.428710E+02             3.447023E+02             3.437526E+02
                  17.2800             3.426986E+02             3.441741E+02             3.451687E+02             3.466183E+02             3.472511E+02             3.439072E+02             3.428422E+02             3.446817E+02             3.437317E+02
                  17.4600             3.426697E+02             3.441538E+02             3.451419E+02             3.465977E+02             3.472294E+02             3.438789E+02             3.428134E+02             3.446611E+02             3.437108E+02
                  17.6400             3.426407E+02             3.441334E+02             3.451150E+02             3.465770E+02             3.472076E+02             3.438505E+02             3.427845E+02             3.446404E+02             3.436898E+02
                  17.8200             3.426117E+02             3.441129E+02             3.450882E+02             3.465562E+02             3.471857E+02             3.438221E+02             3.427556E+02             3.446196E+02             3.436687E+02
                  18.0000             3.425826E+02             3.440924E+02             3.450613E+02             3.465354E+02             3.471638E+02             3.437936E+02             3.427267E+02             3.445988E+02             3.436475E+02
                  18.1800             3.425535E+02             3.440718E+02             3.450343E+02             3.465145E+02             3.471417E+02             3.437651E+02             3.426976E+02             3.445778E+02             3.436263E+02
                  18.3600             3.425243E+02             3.440511E+02             3.450074E+02             3.464935E+02             3.471196E+02             3.437365E+02             3.426686E+02             3.445568E+02             3.436049E+02
                  18.5400             3.424951E+02             3.440304E+02             3.449804E+02             3.464724E+02             3.470974E+02             3.437079E+02             3.426394E+02             3.445358E+02             3.435835E+02
                  18.7200             3.424658E+02             3.440095E+02             3.449534E+02             3.464512E+02             3.470751E+02             3.436792E+02             3.426102E+02             3.445146E+02             3.435619E+02
                  18.9000             3.424365E+02             3.439886E+02             3.449263E+02             3.464300E+02             3.470527E+02             3.436504E+02             3.425809E+02             3.444934E+02             3.435403E+02
                  19.0800             3.424072E+02             3.439676E+02             3.448992E+02             3.464087E+02             3.470303E+02             3.436216E+02             3.425516E+02             3.444720E+02             3.435185E+02
                  19.2600             3.423778E+02             3.439465E+02             3.448721E+02             3.463873E+02             3.470077E+02             3.435927E+02             3.425222E+02             3.444506E+02             3.434967E+02
                  19.4400             3.423483E+02             3.439253E+02             3.448449E+02             3.463658E+02             3.469850E+02             3.435638E+02             3.424927E+02             3.444291E+02             3.434747E+02
                  19.6200             3.423188E+02             3.439040E+02             3.448177E+02             3.463442E+02             3.469623E+02             3.435348E+02             3.424632E+02             3.444075E+02             3.434527E+02
                  19.8000             3.422893E+02             3.438826E+02             3.447904E+02             3.463225E+02             3.469395E+02             3.435057E+02             3.424336E+02             3.443858E+02             3.434305E+02
                  19.9800             3.422597E+02             3.438611E+02             3.447631E+02             3.463008E+02             3.469165E+02             3.434766E+02             3.424039E+02             3.443641E+02             3.434082E+02
                  20.1600             3.422300E+02             3.438395E+02             3.447358E+02             3.462789E+02             3.468935E+02             3.434474E+02             3.423742E+02             3.443422E+02             3.433859E+02
                  20.3400             3.422003E+02             3.438179E+02             3.447084E+02             3.462570E+02             3.468704E+02             3.434182E+02             3.423443E+02             3.443202E+02             3.433634E+02
                  20.5200             3.421706E+02             3.437961E+02             3.446810E+02             3.462350E+02             3.468472E+02             3.433888E+02             3.423144E+02             3.442982E+02             3.433408E+02
                  20.7000             3.421408E+02             3.437743E+02             3.446536E+02             3.462129E+02             3.468239E+02             3.433595E+02             3.422845E+02             3.442761E+02             3.433181E+02
                  20.8800             3.421110E+02             3.437524E+02             3.446261E+02             3.461907E+02             3.468005E+02             3.433301E+02             3.422545E+02             3.442538E+02             3.432953E+02
                  21.0600             3.420811E+02             3.437303E+02             3.445986E+02             3.461684E+02             3.467770E+02             3.433006E+02             3.422244E+02             3.442315E+02             3.432723E+02
                  21.2400             3.420512E+02             3.437082E+02             3.445711E+02             3.461460E+02             3.467534E+02             3.432710E+02             3.421942E+02             3.442091E+02             3.432493E+02
                  21.4200             3.420213E+02             3.436860E+02             3.445435E+02             3.461236E+02             3.467298E+02             3.432415E+02             3.421640E+02             3.441866E+02             3.432262E+02
                  21.6000             3.419913E+02             3.436637E+02             3.445159E+02             3.461011E+02             3.467060E+02             3.432118E+02             3.421338E+02             3.441641E+02             3.432029E+02
                  21.7800             3.419613E+02             3.436413E+02             3.444883E+02             3.460785E+02             3.466822E+02             3.431822E+02             3.421034E+02             3.441414E+02             3.431796E+02
                  21.9600             3.419313E+02             3.436189E+02             3.444607E+02             3.460558E+02             3.466583E+02             3.431524E+02             3.420731E+02             3.441187E+02             3.431562E+02
                  22.1400             3.419012E+02             3.435963E+02             3.444330E+02             3.460330E+02             3.466343E+02             3.431227E+02             3.420426E+02             3.440959E+02             3.431326E+02
                  22.3200             3.418712E+02             3.435737E+02             3.444054E+02             3.460102E+02             3.466103E+02             3.430929E+02             3.420121E+02             3.440730E+02             3.431090E+02
                  22.5000             3.418411E+02             3.435510E+02             3.443777E+02             3.459873E+02             3.465861E+02             3.430630E+02             3.419816E+02             3.440500E+02             3.430853E+02
                  22.6800             3.418109E+02             3.435282E+02             3.443500E+02             3.459643E+02             3.465619E+02             3.430331E+02             3.419510E+02             3.440270E+02             3.430614E+02
                  22.8600             3.417808E+02             3.435054E+02             3.443223E+02             3.459413E+02             3.465376E+02             3.430032E+02             3.419204E+02             3.440039E+02             3.430375E+02
                  23.0400             3.417507E+02             3.434825E+02             3.442946E+02             3.459182E+02             3.465133E+02             3.429733E+02             3.418898E+02             3.439807E+02             3.430135E+02
                  23.2200             3.417205E+02             3.434595E+02             3.442669E+02             3.458950E+02             3.464889E+02             3.429434E+02             3.418591E+02             3.439575E+02             3.429895E+02
                  23.4000             3.416904E+02             3.434365E+02             3.442391E+02             3.458718E+02             3.464644E+02             3.429134E+02             3.418284E+02             3.439342E+02             3.429653E+02
                  23.5800             3.416602E+02             3.434134E+02             3.442114E+02             3.458486E+02             3.464399E+02             3.428834E+02             3.417977E+02             3.439109E+02             3.429411E+02
                  23.7600             3.416301E+02             3.433902E+02             3.441837E+02             3.458253E+02             3.464153E+02             3.428534E+02             3.417669E+02             3.438875E+02             3.429168E+02
                  23.9400             3.415999E+02             3.433670E+02             3.441561E+02             3.458019E+02             3.463907E+02             3.428234E+02             3.417361E+02             3.438640E+02             3.428924E+02
                  24.1200             3.415698E+02             3.433438E+02             3.441284E+02             3.457785E+02             3.463660E+02             3.427934E+02             3.417053E+02             3.438405E+02             3.428680E+02
                  24.3000             3.415397E+02             3.433205E+02             3.441007E+02             3.457551E+02             3.463413E+02             3.427634E+02             3.416746E+02             3.438170E+02             3.428435E+02
                  24.4800             3.415096E+02             3.432971E+02             3.440731E+02             3.457316E+02             3.463166E+02             3.427334E+02             3.416438E+02             3.437934E+02             3.428190E+02
                  24.6600             3.414795E+02             3.432737E+02             3.440455E+02             3.457081E+02             3.462918E+02             3.427034E+02             3.416130E+02             3.437698E+02             3.427944E+02
                  24.8400             3.414495E+02             3.432503E+02             3.440180E+02             3.456845E+02             3.462670E+02             3.426734E+02             3.415822E+02             3.437462E+02             3.427697E+02
                  25.0200             3.414195E+02             3.432269E+02             3.439904E+02             3.456610E+02             3.462421E+02             3.426435E+02             3.415514E+02             3.437225E+02             3.427450E+02
                  25.2000             3.413895E+02             3.432034E+02             3.439629E+02             3.456374E+02             3.462173E+02             3.426135E+02             3.415206E+02             3.436988E+02             3.427203E+02
                  25.3800             3.413596E+02             3.431799E+02             3.439355E+02             3.456138E+02             3.461924E+02             3.425836E+02             3.414898E+02             3.436751E+02             3.426955E+02
                  25.5600             3.413297E+02             3.431564E+02             3.439081E+02             3.455902E+02             3.461675E+02             3.425537E+02             3.414591E+02             3.436514E+02             3.426707E+02
                  25.7400             3.412999E+02             3.431329E+02             3.438807E+02             3.455666E+02             3.461426E+02             3.425239E+02             3.414284E+02             3.436276E+02             3.426459E+02
                  25.9200             3.412701E+02             3.431094E+02             3.438534E+02             3.455430E+02             3.461177E+02             3.424941E+02             3.413977E+02             3.436039E+02             3.426211E+02
