                   Degree             gamma_1[rad]        dgammadt_1[rad/s]      dgammadtt_1[rad/s2]
                  35.8200            -6.189314E-02            -1.039622E+01             1.262676E+03
                  36.0000            -6.214946E-02            -1.036499E+01             1.267095E+03
                  36.1800            -6.240500E-02            -1.033366E+01             1.271489E+03
                  36.3600            -6.265976E-02            -1.030221E+01             1.275857E+03
                  36.5400            -6.291375E-02            -1.027066E+01             1.280201E+03
                  36.7200            -6.316695E-02            -1.023900E+01             1.284519E+03
                  36.9000            -6.341937E-02            -1.020723E+01             1.288813E+03
                  37.0800            -6.367101E-02            -1.017536E+01             1.293081E+03
                  37.2600            -6.392186E-02            -1.014338E+01             1.297324E+03
                  37.4400            -6.417192E-02            -1.011130E+01             1.301541E+03
                  37.6200            -6.442118E-02            -1.007911E+01             1.305733E+03
                  37.8000            -6.466965E-02            -1.004682E+01             1.309900E+03
                  37.9800            -6.491732E-02            -1.001443E+01             1.314041E+03
                  38.1600            -6.516419E-02            -9.981935E+00             1.318157E+03
                  38.3400            -6.541025E-02            -9.949340E+00             1.322248E+03
                  38.5200            -6.565551E-02            -9.916644E+00             1.326313E+03
                  38.7000            -6.589996E-02            -9.883848E+00             1.330353E+03
                  38.8800            -6.614360E-02            -9.850953E+00             1.334367E+03
                  39.0600            -6.638643E-02            -9.817959E+00             1.338355E+03
                  39.2400            -6.662844E-02            -9.784866E+00             1.342318E+03
                  39.4200            -6.686963E-02            -9.751676E+00             1.346256E+03
                  39.6000            -6.711000E-02            -9.718389E+00             1.350167E+03
                  39.7800            -6.734955E-02            -9.685006E+00             1.354053E+03
                  39.9600            -6.758828E-02            -9.651528E+00             1.357914E+03
                  40.1400            -6.782617E-02            -9.617954E+00             1.361749E+03
                  40.3200            -6.806324E-02            -9.584286E+00             1.365558E+03
                  40.5000            -6.829947E-02            -9.550524E+00             1.369341E+03
                  40.6800            -6.853487E-02            -9.516669E+00             1.373099E+03
                  40.8600            -6.876943E-02            -9.482721E+00             1.376831E+03
                  41.0400            -6.900315E-02            -9.448682E+00             1.380537E+03
                  41.2200            -6.923603E-02            -9.414551E+00             1.384217E+03
                  41.4000            -6.946806E-02            -9.380330E+00             1.387872E+03
                  41.5800            -6.969925E-02            -9.346019E+00             1.391501E+03
                  41.7600            -6.992959E-02            -9.311619E+00             1.395104E+03
                  41.9400            -7.015908E-02            -9.277130E+00             1.398681E+03
                  42.1200            -7.038772E-02            -9.242553E+00             1.402232E+03
                  42.3000            -7.061551E-02            -9.207888E+00             1.405758E+03
                  42.4800            -7.084243E-02            -9.173137E+00             1.409258E+03
                  42.6600            -7.106850E-02            -9.138300E+00             1.412732E+03
                  42.8400            -7.129371E-02            -9.103377E+00             1.416180E+03
                  43.0200            -7.151805E-02            -9.068370E+00             1.419602E+03
                  43.2000            -7.174153E-02            -9.033278E+00             1.422998E+03
                  43.3800            -7.196414E-02            -8.998102E+00             1.426369E+03
                  43.5600            -7.218588E-02            -8.962844E+00             1.429713E+03
                  43.7400            -7.240675E-02            -8.927504E+00             1.433032E+03
                  43.9200            -7.262674E-02            -8.892081E+00             1.436325E+03
                  44.1000            -7.284586E-02            -8.856578E+00             1.439592E+03
                  44.2800            -7.306410E-02            -8.820995E+00             1.442833E+03
                  44.4600            -7.328146E-02            -8.785331E+00             1.446049E+03
                  44.6400            -7.349794E-02            -8.749589E+00             1.449238E+03
                  44.8200            -7.371354E-02            -8.713768E+00             1.452402E+03
                  45.0000            -7.392825E-02            -8.677870E+00             1.455539E+03
                  45.1800            -7.414208E-02            -8.641894E+00             1.458651E+03
                  45.3600            -7.435501E-02            -8.605842E+00             1.461737E+03
                  45.5400            -7.456706E-02            -8.569713E+00             1.464798E+03
                  45.7200            -7.477821E-02            -8.533510E+00             1.467832E+03
                  45.9000            -7.498846E-02            -8.497232E+00             1.470841E+03
                  46.0800            -7.519782E-02            -8.460880E+00             1.473823E+03
                  46.2600            -7.540628E-02            -8.424454E+00             1.476780E+03
                  46.4400            -7.561385E-02            -8.387956E+00             1.479711E+03
                  46.6200            -7.582050E-02            -8.351386E+00             1.482617E+03
                  46.8000            -7.602626E-02            -8.314744E+00             1.485497E+03
                  46.9800            -7.623111E-02            -8.278032E+00             1.488351E+03
                  47.1600            -7.643505E-02            -8.241249E+00             1.491179E+03
                  47.3400            -7.663808E-02            -8.204397E+00             1.493981E+03
                  47.5200            -7.684020E-02            -8.167476E+00             1.496758E+03
                  47.7000            -7.704141E-02            -8.130487E+00             1.499509E+03
                  47.8800            -7.724171E-02            -8.093430E+00             1.502234E+03
                  48.0600            -7.744109E-02            -8.056306E+00             1.504934E+03
                  48.2400            -7.763955E-02            -8.019116E+00             1.507608E+03
                  48.4200            -7.783709E-02            -7.981860E+00             1.510257E+03
                  48.6000            -7.803372E-02            -7.944538E+00             1.512880E+03
                  48.7800            -7.822942E-02            -7.907153E+00             1.515477E+03
                  48.9600            -7.842419E-02            -7.869703E+00             1.518049E+03
                  49.1400            -7.861804E-02            -7.832191E+00             1.520595E+03
                  49.3200            -7.881097E-02            -7.794616E+00             1.523115E+03
                  49.5000            -7.900296E-02            -7.756979E+00             1.525611E+03
                  49.6800            -7.919403E-02            -7.719280E+00             1.528080E+03
                  49.8600            -7.938416E-02            -7.681521E+00             1.530525E+03
                  50.0400            -7.957336E-02            -7.643702E+00             1.532943E+03
                  50.2200            -7.976163E-02            -7.605823E+00             1.535337E+03
                  50.4000            -7.994896E-02            -7.567886E+00             1.537705E+03
                  50.5800            -8.013535E-02            -7.529890E+00             1.540048E+03
                  50.7600            -8.032080E-02            -7.491837E+00             1.542365E+03
                  50.9400            -8.050532E-02            -7.453727E+00             1.544657E+03
                  51.1200            -8.068889E-02            -7.415561E+00             1.546924E+03
                  51.3000            -8.087152E-02            -7.377339E+00             1.549166E+03
                  51.4800            -8.105320E-02            -7.339062E+00             1.551383E+03
                  51.6600            -8.123394E-02            -7.300730E+00             1.553574E+03
                  51.8400            -8.141373E-02            -7.262345E+00             1.555740E+03
                  52.0200            -8.159257E-02            -7.223907E+00             1.557881E+03
                  52.2000            -8.177047E-02            -7.185416E+00             1.559997E+03
                  52.3800            -8.194741E-02            -7.146873E+00             1.562088E+03
                  52.5600            -8.212340E-02            -7.108278E+00             1.564154E+03
