                   Degree           I_press_scv[W]           I_press_dcv[W]          I_tempmx_scv[W]          I_tempmx_dcv[W]             I_thr_scv[W]             I_thr_dcv[W]            I_thr_leak[W]              I_ht_scv[W]              I_ht_dcv[W]               I_ef_vh[W]                I_s_vh[W]                I_f_vs[W]               I_ef_ro[W]                 I_lub[W]              I_bear_s[W]            I_lip_seal[W]
                   8.2800             9.125185E+01             4.062087E+00             3.464535E+00             5.989718E-01             8.778731E+01             4.661059E+00             0.000000E+00             1.051303E-02             6.846693E-01             4.340342E-02             6.048464E-01             7.083150E-01             1.284827E+01             1.220595E+01             1.059035E+01             2.435292E+01
                   8.4600             9.116472E+01             4.117164E+00             3.460058E+00             6.070283E-01             8.770466E+01             4.724193E+00             0.000000E+00             1.071719E-02             6.841890E-01             4.334946E-02             6.055309E-01             7.300957E-01             1.284322E+01             1.223787E+01             1.058296E+01             2.435292E+01
                   8.6400             9.105648E+01             4.172981E+00             3.454239E+00             6.151921E-01             8.760224E+01             4.788174E+00             0.000000E+00             1.092482E-02             6.837120E-01             4.329440E-02             6.062091E-01             7.518148E-01             1.283807E+01             1.226977E+01             1.057875E+01             2.435292E+01
                   8.8200             9.092613E+01             4.229537E+00             3.447015E+00             6.234632E-01             8.747912E+01             4.853000E+00             0.000000E+00             1.113632E-02             6.832384E-01             4.323823E-02             6.068806E-01             7.734691E-01             1.283281E+01             1.230164E+01             1.057807E+01             2.435292E+01
                   9.0000             9.077271E+01             4.286830E+00             3.438328E+00             6.318411E-01             8.733438E+01             4.918671E+00             0.000000E+00             1.135208E-02             6.827682E-01             4.318097E-02             6.075448E-01             7.950554E-01             1.282745E+01             1.233345E+01             1.058082E+01             2.435292E+01
                   9.1800             9.059527E+01             4.344860E+00             3.428120E+00             6.403259E-01             8.716715E+01             4.985186E+00             0.000000E+00             1.157252E-02             6.823012E-01             4.312261E-02             6.082013E-01             8.165704E-01             1.282200E+01             1.236521E+01             1.058649E+01             2.435292E+01
                   9.3600             9.039292E+01             4.403626E+00             3.416340E+00             6.489173E-01             8.697658E+01             5.052543E+00             0.000000E+00             1.179806E-02             6.818376E-01             4.306315E-02             6.088495E-01             8.380109E-01             1.281644E+01             1.239690E+01             1.059431E+01             2.435292E+01
                   9.5400             9.016480E+01             4.463126E+00             3.402937E+00             6.576151E-01             8.676186E+01             5.120741E+00             0.000000E+00             1.202913E-02             6.813773E-01             4.300262E-02             6.094891E-01             8.593735E-01             1.281078E+01             1.242849E+01             1.060335E+01             2.435292E+01
                   9.7200             8.991010E+01             4.523359E+00             3.387866E+00             6.664191E-01             8.652223E+01             5.189778E+00             0.000000E+00             1.226616E-02             6.809202E-01             4.294100E-02             6.101195E-01             8.806549E-01             1.280502E+01             1.245999E+01             1.061266E+01             2.435292E+01
                   9.9000             8.962806E+01             4.584325E+00             3.371089E+00             6.753292E-01             8.625697E+01             5.259654E+00             0.000000E+00             1.250959E-02             6.804664E-01             4.287830E-02             6.107403E-01             9.018520E-01             1.279917E+01             1.249137E+01             1.062141E+01             2.435292E+01
