                   Degree                   P1[Pa]                   P2[Pa]                   P3[Pa]                   P4[Pa]                   P5[Pa]                   P6[Pa]                   P7[Pa]                   P8[Pa]                   P9[Pa]                  P3a[Pa]
                   9.9000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670721E+05             1.660264E+05             4.927319E+05
                  10.0800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670694E+05             1.660237E+05             4.927258E+05
                  10.2600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670667E+05             1.660211E+05             4.927198E+05
                  10.4400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670641E+05             1.660185E+05             4.927140E+05
                  10.6200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670615E+05             1.660159E+05             4.927083E+05
                  10.8000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670589E+05             1.660133E+05             4.927027E+05
                  10.9800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670564E+05             1.660108E+05             4.926973E+05
                  11.1600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670538E+05             1.660082E+05             4.926921E+05
                  11.3400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670514E+05             1.660058E+05             4.926870E+05
                  11.5200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670489E+05             1.660033E+05             4.926821E+05
                  11.7000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670466E+05             1.660010E+05             4.926773E+05
                  11.8800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670443E+05             1.659987E+05             4.926728E+05
                  12.0600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670421E+05             1.659965E+05             4.926684E+05
                  12.2400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670400E+05             1.659943E+05             4.926642E+05
                  12.4200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670379E+05             1.659923E+05             4.926602E+05
                  12.6000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670360E+05             1.659904E+05             4.926564E+05
                  12.7800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670342E+05             1.659886E+05             4.926528E+05
                  12.9600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670325E+05             1.659869E+05             4.926494E+05
                  13.1400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670309E+05             1.659853E+05             4.926463E+05
                  13.3200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670295E+05             1.659839E+05             4.926433E+05
                  13.5000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670281E+05             1.659825E+05             4.926405E+05
                  13.6800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670269E+05             1.659813E+05             4.926380E+05
                  13.8600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670258E+05             1.659802E+05             4.926357E+05
                  14.0400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670248E+05             1.659791E+05             4.926337E+05
                  14.2200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670239E+05             1.659783E+05             4.926318E+05
                  14.4000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670231E+05             1.659775E+05             4.926302E+05
                  14.5800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670225E+05             1.659769E+05             4.926288E+05
                  14.7600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670220E+05             1.659764E+05             4.926277E+05
                  14.9400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670216E+05             1.659760E+05             4.926268E+05
                  15.1200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670213E+05             1.659757E+05             4.926261E+05
                  15.3000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670212E+05             1.659756E+05             4.926257E+05
                  15.4800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670211E+05             1.659755E+05             4.926255E+05
                  15.6600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670212E+05             1.659756E+05             4.926255E+05
                  15.8400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670214E+05             1.659758E+05             4.926258E+05
                  16.0200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670217E+05             1.659761E+05             4.926262E+05
                  16.2000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670221E+05             1.659765E+05             4.926270E+05
                  16.3800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670226E+05             1.659770E+05             4.926279E+05
                  16.5600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670231E+05             1.659775E+05             4.926291E+05
                  16.7400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670237E+05             1.659781E+05             4.926305E+05
                  16.9200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670244E+05             1.659788E+05             4.926322E+05
                  17.1000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670251E+05             1.659795E+05             4.926340E+05
                  17.2800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670259E+05             1.659803E+05             4.926361E+05
                  17.4600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670267E+05             1.659811E+05             4.926384E+05
                  17.6400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670276E+05             1.659820E+05             4.926408E+05
                  17.8200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670286E+05             1.659830E+05             4.926435E+05
                  18.0000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670296E+05             1.659840E+05             4.926464E+05
                  18.1800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670308E+05             1.659851E+05             4.926494E+05
                  18.3600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670319E+05             1.659863E+05             4.926526E+05
                  18.5400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670332E+05             1.659876E+05             4.926560E+05
                  18.7200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670346E+05             1.659890E+05             4.926596E+05
                  18.9000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670360E+05             1.659904E+05             4.926633E+05
                  19.0800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670377E+05             1.659920E+05             4.926671E+05
                  19.2600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670394E+05             1.659938E+05             4.926710E+05
                  19.4400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670414E+05             1.659958E+05             4.926751E+05
                  19.6200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670436E+05             1.659980E+05             4.926793E+05
                  19.8000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670459E+05             1.660003E+05             4.926835E+05
                  19.9800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670484E+05             1.660027E+05             4.926879E+05
                  20.1600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670508E+05             1.660052E+05             4.926924E+05
                  20.3400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670532E+05             1.660076E+05             4.926969E+05
                  20.5200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670556E+05             1.660100E+05             4.927017E+05
