                   Degree               Volume[m3]            Pressure[kPa]           Temperature[K]        Int. Energy[J/kg]           Density[kg/m3]           Enthalpy[J/kg]          Entropy[J/kg.K]  Dyn. Viscosity[N.s/m^2]       Spec. Heat[J/kg.K]     Therm. Cond[W/(m.K)]                 Mass[kg]    Valve Deflec. mid[mm]    Valve Deflec. tip[mm]
                   7.2000             3.283973E-05             1.010002E+02             3.038958E+02             3.430116E+05             1.152493E+00             4.302205E+05             3.902029E+03             1.872444E-05             1.006509E+03             2.667294E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   7.3800             3.283933E-05             1.010002E+02             3.038968E+02             3.430124E+05             1.152507E+00             4.302215E+05             3.902028E+03             1.872448E-05             1.006509E+03             2.667302E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   7.5600             3.283891E-05             1.010002E+02             3.038978E+02             3.430131E+05             1.152522E+00             4.302226E+05             3.902027E+03             1.872453E-05             1.006509E+03             2.667309E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   7.7400             3.283849E-05             1.010002E+02             3.038989E+02             3.430139E+05             1.152537E+00             4.302236E+05             3.902026E+03             1.872459E-05             1.006509E+03             2.667317E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   7.9200             3.283805E-05             1.010002E+02             3.039000E+02             3.430146E+05             1.152552E+00             4.302247E+05             3.902025E+03             1.872464E-05             1.006509E+03             2.667326E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   8.1000             3.283759E-05             1.010002E+02             3.039011E+02             3.430154E+05             1.152568E+00             4.302258E+05             3.902023E+03             1.872469E-05             1.006509E+03             2.667334E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   8.2800             3.283713E-05             1.010002E+02             3.039023E+02             3.430163E+05             1.152585E+00             4.302270E+05             3.902022E+03             1.872475E-05             1.006509E+03             2.667342E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   8.4600             3.283665E-05             1.010002E+02             3.039035E+02             3.430171E+05             1.152601E+00             4.302282E+05             3.902021E+03             1.872480E-05             1.006509E+03             2.667351E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   8.6400             3.283616E-05             1.010002E+02             3.039047E+02             3.430180E+05             1.152619E+00             4.302294E+05             3.902019E+03             1.872486E-05             1.006509E+03             2.667360E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   8.8200             3.283565E-05             1.010002E+02             3.039060E+02             3.430189E+05             1.152636E+00             4.302307E+05             3.902018E+03             1.872492E-05             1.006509E+03             2.667370E-02             3.784756E-05             0.000000E+00             0.000000E+00
                   9.0000             3.283513E-05             1.010002E+02             3.039072E+02             3.430198E+05             1.152655E+00             4.302320E+05             3.902016E+03             1.872499E-05             1.006510E+03             2.667379E-02             3.784756E-05             0.000000E+00             0.000000E+00
