                   Degree               T_ocsc2[K]               T_ocsc3[K]               T_ocdc2[K]               T_ocdc3[K]               T_rosc2[K]               T_rosc3[K]               T_rodc2[K]               T_rodc3[K]             T_roller2[K]             T_roller3[K]
                  10.2600             3.272383E+02             3.272917E+02             3.274362E+02             3.274582E+02             3.306529E+02             3.300200E+02             3.309241E+02             3.302577E+02             3.321084E+02             3.312975E+02
                  10.4400             3.272358E+02             3.272893E+02             3.274342E+02             3.274563E+02             3.306498E+02             3.300172E+02             3.309220E+02             3.302556E+02             3.321061E+02             3.312953E+02
                  10.6200             3.272332E+02             3.272867E+02             3.274321E+02             3.274542E+02             3.306466E+02             3.300142E+02             3.309198E+02             3.302534E+02             3.321038E+02             3.312930E+02
                  10.8000             3.272304E+02             3.272840E+02             3.274300E+02             3.274520E+02             3.306432E+02             3.300110E+02             3.309174E+02             3.302511E+02             3.321013E+02             3.312905E+02
                  10.9800             3.272274E+02             3.272811E+02             3.274276E+02             3.274497E+02             3.306397E+02             3.300078E+02             3.309149E+02             3.302487E+02             3.320987E+02             3.312880E+02
                  11.1600             3.272243E+02             3.272781E+02             3.274252E+02             3.274473E+02             3.306360E+02             3.300043E+02             3.309123E+02             3.302461E+02             3.320959E+02             3.312853E+02
                  11.3400             3.272210E+02             3.272749E+02             3.274227E+02             3.274447E+02             3.306322E+02             3.300007E+02             3.309096E+02             3.302434E+02             3.320931E+02             3.312825E+02
                  11.5200             3.272176E+02             3.272716E+02             3.274200E+02             3.274421E+02             3.306283E+02             3.299970E+02             3.309068E+02             3.302407E+02             3.320901E+02             3.312796E+02
                  11.7000             3.272139E+02             3.272680E+02             3.274172E+02             3.274393E+02             3.306241E+02             3.299931E+02             3.309038E+02             3.302377E+02             3.320870E+02             3.312765E+02
                  11.8800             3.272101E+02             3.272643E+02             3.274142E+02             3.274363E+02             3.306198E+02             3.299890E+02             3.309007E+02             3.302347E+02             3.320837E+02             3.312733E+02
                  12.0600             3.272061E+02             3.272604E+02             3.274112E+02             3.274333E+02             3.306154E+02             3.299847E+02             3.308975E+02             3.302315E+02             3.320803E+02             3.312700E+02
                  12.2400             3.272020E+02             3.272563E+02             3.274080E+02             3.274301E+02             3.306107E+02             3.299803E+02             3.308941E+02             3.302282E+02             3.320768E+02             3.312666E+02
                  12.4200             3.271976E+02             3.272521E+02             3.274047E+02             3.274268E+02             3.306059E+02             3.299757E+02             3.308906E+02             3.302247E+02             3.320732E+02             3.312630E+02
                  12.6000             3.271930E+02             3.272476E+02             3.274012E+02             3.274233E+02             3.306009E+02             3.299709E+02             3.308870E+02             3.302211E+02             3.320694E+02             3.312592E+02
                  12.7800             3.271883E+02             3.272430E+02             3.273976E+02             3.274197E+02             3.305957E+02             3.299659E+02             3.308832E+02             3.302174E+02             3.320654E+02             3.312554E+02
                  12.9600             3.271833E+02             3.272381E+02             3.273939E+02             3.274160E+02             3.305903E+02             3.299607E+02             3.308793E+02             3.302135E+02             3.320613E+02             3.312514E+02
                  13.1400             3.271781E+02             3.272331E+02             3.273900E+02             3.274122E+02             3.305848E+02             3.299554E+02             3.308752E+02             3.302095E+02             3.320571E+02             3.312472E+02
                  13.3200             3.271728E+02             3.272279E+02             3.273860E+02             3.274082E+02             3.305790E+02             3.299499E+02             3.308711E+02             3.302054E+02             3.320528E+02             3.312429E+02
                  13.5000             3.271672E+02             3.272224E+02             3.273819E+02             3.274040E+02             3.305731E+02             3.299441E+02             3.308667E+02             3.302011E+02             3.320483E+02             3.312385E+02
                  13.6800             3.271615E+02             3.272168E+02             3.273776E+02             3.273998E+02             3.305670E+02             3.299382E+02             3.308623E+02             3.301967E+02             3.320436E+02             3.312339E+02
                  13.8600             3.271555E+02             3.272110E+02             3.273732E+02             3.273954E+02             3.305606E+02             3.299321E+02             3.308577E+02             3.301922E+02             3.320388E+02             3.312292E+02
                  14.0400             3.271494E+02             3.272050E+02             3.273687E+02             3.273909E+02             3.305541E+02             3.299258E+02             3.308529E+02             3.301875E+02             3.320339E+02             3.312244E+02
                  14.2200             3.271430E+02             3.271987E+02             3.273640E+02             3.273862E+02             3.305475E+02             3.299194E+02             3.308480E+02             3.301827E+02             3.320289E+02             3.312194E+02
                  14.4000             3.271365E+02             3.271923E+02             3.273592E+02             3.273814E+02             3.305406E+02             3.299127E+02             3.308430E+02             3.301777E+02             3.320236E+02             3.312142E+02
                  14.5800             3.271297E+02             3.271857E+02             3.273543E+02             3.273765E+02             3.305335E+02             3.299059E+02             3.308379E+02             3.301726E+02             3.320183E+02             3.312090E+02
                  14.7600             3.271228E+02             3.271789E+02             3.273492E+02             3.273714E+02             3.305263E+02             3.298989E+02             3.308326E+02             3.301674E+02             3.320128E+02             3.312036E+02
                  14.9400             3.271156E+02             3.271720E+02             3.273441E+02             3.273662E+02             3.305189E+02             3.298916E+02             3.308272E+02             3.301621E+02             3.320072E+02             3.311980E+02
                  15.1200             3.271083E+02             3.271648E+02             3.273387E+02             3.273609E+02             3.305113E+02             3.298843E+02             3.308217E+02             3.301566E+02             3.320015E+02             3.311924E+02
                  15.3000             3.271008E+02             3.271575E+02             3.273333E+02             3.273555E+02             3.305035E+02             3.298767E+02             3.308160E+02             3.301510E+02             3.319956E+02             3.311866E+02
                  15.4800             3.270931E+02             3.271499E+02             3.273278E+02             3.273500E+02             3.304956E+02             3.298690E+02             3.308102E+02             3.301453E+02             3.319896E+02             3.311807E+02
                  15.6600             3.270853E+02             3.271422E+02             3.273221E+02             3.273443E+02             3.304874E+02             3.298611E+02             3.308043E+02             3.301394E+02             3.319835E+02             3.311746E+02
                  15.8400             3.270772E+02             3.271344E+02             3.273163E+02             3.273385E+02             3.304792E+02             3.298531E+02             3.307983E+02             3.301334E+02             3.319772E+02             3.311685E+02
                  16.0200             3.270690E+02             3.271263E+02             3.273104E+02             3.273327E+02             3.304707E+02             3.298449E+02             3.307921E+02             3.301274E+02             3.319709E+02             3.311622E+02
