                             Degree                         Volume[m3]                    I.Pressure[kPa]                   I.Temperature[K]                         I.Mass[kg]
                            27.0000                       1.018493E-07                       1.007730E+02                       3.039730E+02                       1.176607E-07
                            27.1800                       1.031536E-07                       1.007730E+02                       3.039730E+02                       1.191675E-07
                            27.3600                       1.044791E-07                       1.007730E+02                       3.039730E+02                       1.206987E-07
                            27.5400                       1.058259E-07                       1.007730E+02                       3.039730E+02                       1.222547E-07
                            27.7200                       1.071943E-07                       1.007730E+02                       3.039730E+02                       1.238355E-07
                            27.9000                       1.085844E-07                       1.007730E+02                       3.039730E+02                       1.254414E-07
                            28.0800                       1.099963E-07                       1.007730E+02                       3.039730E+02                       1.270725E-07
                            28.2600                       1.114302E-07                       1.007730E+02                       3.039730E+02                       1.287290E-07
                            28.4400                       1.128863E-07                       1.007730E+02                       3.039730E+02                       1.304111E-07
                            28.6200                       1.143647E-07                       1.007730E+02                       3.039730E+02                       1.321190E-07
                            28.8000                       1.158656E-07                       1.007730E+02                       3.039730E+02                       1.338529E-07
                            28.9800                       1.173891E-07                       1.007730E+02                       3.039730E+02                       1.356129E-07
                            29.1600                       1.189353E-07                       1.007730E+02                       3.039730E+02                       1.373992E-07
                            29.3400                       1.205046E-07                       1.007730E+02                       3.039730E+02                       1.392120E-07
                            29.5200                       1.220969E-07                       1.007730E+02                       3.039730E+02                       1.410515E-07
                            29.7000                       1.237124E-07                       1.007730E+02                       3.039730E+02                       1.429179E-07
                            29.8800                       1.253514E-07                       1.007730E+02                       3.039730E+02                       1.448112E-07
                            30.0600                       1.270139E-07                       1.007730E+02                       3.039730E+02                       1.467318E-07
                            30.2400                       1.287001E-07                       1.007730E+02                       3.039730E+02                       1.486798E-07
                            30.4200                       1.304101E-07                       1.007730E+02                       3.039730E+02                       1.506554E-07
                            30.6000                       1.321442E-07                       1.007730E+02                       3.039730E+02                       1.526587E-07
                            30.7800                       1.339025E-07                       1.007730E+02                       3.039730E+02                       1.546899E-07
                            30.9600                       1.356851E-07                       1.007730E+02                       3.039730E+02                       1.567492E-07
                            31.1400                       1.374921E-07                       1.007730E+02                       3.039730E+02                       1.588368E-07
                            31.3200                       1.393238E-07                       1.007730E+02                       3.039730E+02                       1.609528E-07
                            31.5000                       1.411802E-07                       1.007730E+02                       3.039730E+02                       1.630974E-07
                            31.6800                       1.430616E-07                       1.007730E+02                       3.039730E+02                       1.652708E-07
                            31.8600                       1.449680E-07                       1.007730E+02                       3.039730E+02                       1.674732E-07
                            32.0400                       1.468997E-07                       1.007730E+02                       3.039730E+02                       1.697048E-07
                            32.2200                       1.488567E-07                       1.007730E+02                       3.039730E+02                       1.719656E-07
                            32.4000                       1.508392E-07                       1.007730E+02                       3.039730E+02                       1.742560E-07
                            32.5800                       1.528475E-07                       1.007730E+02                       3.039730E+02                       1.765759E-07
                            32.7600                       1.548815E-07                       1.007730E+02                       3.039730E+02                       1.789258E-07
                            32.9400                       1.569415E-07                       1.007730E+02                       3.039730E+02                       1.813056E-07
                            33.1200                       1.590277E-07                       1.007730E+02                       3.039730E+02                       1.837156E-07
                            33.3000                       1.611400E-07                       1.007730E+02                       3.039730E+02                       1.861559E-07
                            33.4800                       1.632789E-07                       1.007730E+02                       3.039730E+02                       1.886267E-07
                            33.6600                       1.654442E-07                       1.007730E+02                       3.039730E+02                       1.911282E-07
                            33.8400                       1.676363E-07                       1.007730E+02                       3.039730E+02                       1.936606E-07
                            34.0200                       1.698552E-07                       1.007730E+02                       3.039730E+02                       1.962240E-07
                            34.2000                       1.721011E-07                       1.007730E+02                       3.039730E+02                       1.988185E-07
                            34.3800                       1.743741E-07                       1.007730E+02                       3.039730E+02                       2.014445E-07
                            34.5600                       1.766744E-07                       1.007730E+02                       3.039730E+02                       2.041019E-07
                            34.7400                       1.790022E-07                       1.007730E+02                       3.039730E+02                       2.067910E-07
                            34.9200                       1.813575E-07                       1.007730E+02                       3.039730E+02                       2.095120E-07
                            35.1000                       1.837406E-07                       1.007730E+02                       3.039730E+02                       2.122650E-07
                            35.2800                       1.861515E-07                       1.007730E+02                       3.039730E+02                       2.150501E-07
                            35.4600                       1.885904E-07                       1.007730E+02                       3.039730E+02                       2.178677E-07
                            35.6400                       1.910574E-07                       1.007730E+02                       3.039730E+02                       2.207177E-07
                            35.8200                       1.935527E-07                       1.007730E+02                       3.039730E+02                       2.236004E-07
                            36.0000                       1.960765E-07                       1.007730E+02                       3.039730E+02                       2.265160E-07
                            36.1800                       1.986288E-07                       1.007730E+02                       3.039730E+02                       2.294645E-07
                            36.3600                       2.012098E-07                       1.007730E+02                       3.039730E+02                       2.324462E-07
                            36.5400                       2.038197E-07                       1.007730E+02                       3.039730E+02                       2.354613E-07
                            36.7200                       2.064586E-07                       1.007730E+02                       3.039730E+02                       2.385098E-07
                            36.9000                       2.091266E-07                       1.007730E+02                       3.039730E+02                       2.415920E-07
                            37.0800                       2.118239E-07                       1.007730E+02                       3.039730E+02                       2.447080E-07
                            37.2600                       2.145505E-07                       1.007730E+02                       3.039730E+02                       2.478579E-07
                            37.4400                       2.173067E-07                       1.007730E+02                       3.039730E+02                       2.510420E-07
                            37.6200                       2.200926E-07                       1.007730E+02                       3.039730E+02                       2.542604E-07
                            37.8000                       2.229084E-07                       1.007730E+02                       3.039730E+02                       2.575133E-07
                            37.9800                       2.257540E-07                       1.007730E+02                       3.039730E+02                       2.608007E-07
                            38.1600                       2.286298E-07                       1.007730E+02                       3.039730E+02                       2.641229E-07
                            38.3400                       2.315358E-07                       1.007730E+02                       3.039730E+02                       2.674801E-07
                            38.5200                       2.344722E-07                       1.007730E+02                       3.039730E+02                       2.708723E-07
                            38.7000                       2.374390E-07                       1.007730E+02                       3.039730E+02                       2.742997E-07
                            38.8800                       2.404365E-07                       1.007730E+02                       3.039730E+02                       2.777626E-07
                            39.0600                       2.434648E-07                       1.007730E+02                       3.039730E+02                       2.812609E-07
                            39.2400                       2.465240E-07                       1.007730E+02                       3.039730E+02                       2.847950E-07
                            39.4200                       2.496142E-07                       1.007730E+02                       3.039730E+02                       2.883650E-07
                            39.6000                       2.527355E-07                       1.007730E+02                       3.039730E+02                       2.919709E-07
                            39.7800                       2.558882E-07                       1.007730E+02                       3.039730E+02                       2.956130E-07
                            39.9600                       2.590724E-07                       1.007730E+02                       3.039730E+02                       2.992915E-07
                            40.1400                       2.622880E-07                       1.007730E+02                       3.039730E+02                       3.030064E-07
                            40.3200                       2.655354E-07                       1.007730E+02                       3.039730E+02                       3.067579E-07
                            40.5000                       2.688147E-07                       1.007730E+02                       3.039730E+02                       3.105462E-07
                            40.6800                       2.721258E-07                       1.007730E+02                       3.039730E+02                       3.143714E-07
                            40.8600                       2.754691E-07                       1.007730E+02                       3.039730E+02                       3.182337E-07
                            41.0400                       2.788446E-07                       1.007730E+02                       3.039730E+02                       3.221332E-07
                            41.2200                       2.822525E-07                       1.007730E+02                       3.039730E+02                       3.260701E-07
                            41.4000                       2.856928E-07                       1.007730E+02                       3.039730E+02                       3.300445E-07
                            41.5800                       2.891657E-07                       1.007730E+02                       3.039730E+02                       3.340566E-07
                            41.7600                       2.926714E-07                       1.007730E+02                       3.039730E+02                       3.381065E-07
                            41.9400                       2.962099E-07                       1.007730E+02                       3.039730E+02                       3.421944E-07
                            42.1200                       2.997815E-07                       1.007730E+02                       3.039730E+02                       3.463204E-07
                            42.3000                       3.033861E-07                       1.007730E+02                       3.039730E+02                       3.504846E-07
                            42.4800                       3.070240E-07                       1.007730E+02                       3.039730E+02                       3.546873E-07
                            42.6600                       3.106952E-07                       1.007730E+02                       3.039730E+02                       3.589285E-07
                            42.8400                       3.144000E-07                       1.007730E+02                       3.039730E+02                       3.632083E-07
                            43.0200                       3.181384E-07                       1.007730E+02                       3.039730E+02                       3.675271E-07
                            43.2000                       3.219105E-07                       1.007730E+02                       3.039730E+02                       3.718848E-07
                            43.3800                       3.257165E-07                       1.007730E+02                       3.039730E+02                       3.762816E-07
                            43.5600                       3.295565E-07                       1.007730E+02                       3.039730E+02                       3.807177E-07
                            43.7400                       3.334306E-07                       1.007730E+02                       3.039730E+02                       3.851933E-07
                            43.9200                       3.373389E-07                       1.007730E+02                       3.039730E+02                       3.897083E-07
                            44.1000                       3.412816E-07                       1.007730E+02                       3.039730E+02                       3.942631E-07
                            44.2800                       3.452588E-07                       1.007730E+02                       3.039730E+02                       3.988577E-07
                            44.4600                       3.492705E-07                       1.007730E+02                       3.039730E+02                       4.034923E-07
                            44.6400                       3.533170E-07                       1.007730E+02                       3.039730E+02                       4.081670E-07
                            44.8200                       3.573984E-07                       1.007730E+02                       3.039730E+02                       4.128819E-07
                            45.0000                       3.615147E-07                       1.007730E+02                       3.039730E+02                       4.176373E-07
                            45.1800                       3.656661E-07                       1.007730E+02                       3.039730E+02                       4.224331E-07
                            45.3600                       3.698527E-07                       1.007730E+02                       3.039730E+02                       4.272697E-07
                            45.5400                       3.740746E-07                       1.007730E+02                       3.039730E+02                       4.321470E-07
                            45.7200                       3.783320E-07                       1.007730E+02                       3.039730E+02                       4.370653E-07
