                   Degree               Volume[m3]            Pressure[kPa]           Temperature[K]        Int. Energy[J/kg]           Density[kg/m3]           Enthalpy[J/kg]          Entropy[J/kg.K]  Dyn. Viscosity[N.s/m^2]       Spec. Heat[J/kg.K]     Therm. Cond[W/(m.K)]                 Mass[kg]    Valve Deflec. mid[mm]    Valve Deflec. tip[mm]
                   8.8200             3.283565E-05             1.007495E+02             3.145869E+02             3.506989E+05             1.115912E+00             4.409831E+05             3.936147E+03             1.923308E-05             1.006981E+03             2.745925E-02             3.664170E-05             0.000000E+00             0.000000E+00
                   9.0000             3.283513E-05             1.007495E+02             3.145929E+02             3.507032E+05             1.115891E+00             4.409892E+05             3.936166E+03             1.923336E-05             1.006981E+03             2.745969E-02             3.664044E-05             0.000000E+00             0.000000E+00
                   9.1800             3.283460E-05             1.007495E+02             3.145989E+02             3.507075E+05             1.115870E+00             4.409952E+05             3.936185E+03             1.923365E-05             1.006981E+03             2.746013E-02             3.663916E-05             0.000000E+00             0.000000E+00
                   9.3600             3.283405E-05             1.007496E+02             3.146048E+02             3.507118E+05             1.115849E+00             4.410012E+05             3.936204E+03             1.923393E-05             1.006982E+03             2.746057E-02             3.663786E-05             0.000000E+00             0.000000E+00
                   9.5400             3.283349E-05             1.007496E+02             3.146108E+02             3.507161E+05             1.115829E+00             4.410072E+05             3.936223E+03             1.923421E-05             1.006982E+03             2.746100E-02             3.663656E-05             0.000000E+00             0.000000E+00
                   9.7200             3.283292E-05             1.007496E+02             3.146168E+02             3.507204E+05             1.115808E+00             4.410132E+05             3.936242E+03             1.923449E-05             1.006982E+03             2.746144E-02             3.663523E-05             0.000000E+00             0.000000E+00
                   9.9000             3.283233E-05             1.007497E+02             3.146228E+02             3.507247E+05             1.115787E+00             4.410192E+05             3.936261E+03             1.923477E-05             1.006982E+03             2.746187E-02             3.663389E-05             0.000000E+00             0.000000E+00
                  10.0800             3.283172E-05             1.007497E+02             3.146287E+02             3.507290E+05             1.115766E+00             4.410252E+05             3.936280E+03             1.923506E-05             1.006983E+03             2.746231E-02             3.663253E-05             0.000000E+00             0.000000E+00
                  10.2600             3.283110E-05             1.007498E+02             3.146347E+02             3.507332E+05             1.115745E+00             4.410312E+05             3.936299E+03             1.923534E-05             1.006983E+03             2.746275E-02             3.663116E-05             0.000000E+00             0.000000E+00
                  10.4400             3.283047E-05             1.007498E+02             3.146406E+02             3.507375E+05             1.115725E+00             4.410372E+05             3.936318E+03             1.923562E-05             1.006983E+03             2.746318E-02             3.662977E-05             0.000000E+00             0.000000E+00
                  10.6200             3.282982E-05             1.007498E+02             3.146466E+02             3.507418E+05             1.115704E+00             4.410432E+05             3.936337E+03             1.923590E-05             1.006984E+03             2.746362E-02             3.662837E-05             0.000000E+00             0.000000E+00
                  10.8000             3.282915E-05             1.007499E+02             3.146526E+02             3.507461E+05             1.115683E+00             4.410492E+05             3.936356E+03             1.923618E-05             1.006984E+03             2.746405E-02             3.662695E-05             0.000000E+00             0.000000E+00
                  10.9800             3.282847E-05             1.007499E+02             3.146585E+02             3.507504E+05             1.115663E+00             4.410552E+05             3.936374E+03             1.923646E-05             1.006984E+03             2.746449E-02             3.662551E-05             0.000000E+00             0.000000E+00
