                             Degree                     Suc.Volume[m3]                    Comp.Volume[m3]               I.Suct.Press._1[kPa]                    I.Suct.Temp.[K]                 I.Disc.Press.[kPa]                    I.Disc.Temp.[K]
                            26.6400                       9.930377E-08                       3.269110E-05                       1.007480E+02                       3.039992E+02                       1.006894E+02                       3.039486E+02
                            26.8200                       1.005661E-07                       3.268842E-05                       1.007480E+02                       3.039992E+02                       1.007009E+02                       3.039586E+02
                            27.0000                       1.018493E-07                       3.268571E-05                       1.007480E+02                       3.039992E+02                       1.007126E+02                       3.039687E+02
                            27.1800                       1.031536E-07                       3.268297E-05                       1.007480E+02                       3.039992E+02                       1.007245E+02                       3.039789E+02
                            27.3600                       1.044791E-07                       3.268020E-05                       1.007480E+02                       3.039992E+02                       1.007365E+02                       3.039892E+02
                            27.5400                       1.058259E-07                       3.267740E-05                       1.007480E+02                       3.039992E+02                       1.007486E+02                       3.039996E+02
                            27.7200                       1.071943E-07                       3.267456E-05                       1.007480E+02                       3.039992E+02                       1.007608E+02                       3.040102E+02
                            27.9000                       1.085844E-07                       3.267170E-05                       1.007480E+02                       3.039992E+02                       1.007732E+02                       3.040209E+02
                            28.0800                       1.099963E-07                       3.266881E-05                       1.007480E+02                       3.039992E+02                       1.007857E+02                       3.040316E+02
                            28.2600                       1.114302E-07                       3.266589E-05                       1.007480E+02                       3.039992E+02                       1.007983E+02                       3.040425E+02
                            28.4400                       1.128863E-07                       3.266294E-05                       1.007480E+02                       3.039992E+02                       1.008111E+02                       3.040535E+02
                            28.6200                       1.143647E-07                       3.265995E-05                       1.007480E+02                       3.039992E+02                       1.008240E+02                       3.040647E+02
                            28.8000                       1.158656E-07                       3.265694E-05                       1.007480E+02                       3.039992E+02                       1.008370E+02                       3.040759E+02
                            28.9800                       1.173891E-07                       3.265389E-05                       1.007480E+02                       3.039992E+02                       1.008502E+02                       3.040873E+02
                            29.1600                       1.189353E-07                       3.265081E-05                       1.007480E+02                       3.039992E+02                       1.008635E+02                       3.040987E+02
                            29.3400                       1.205046E-07                       3.264771E-05                       1.007480E+02                       3.039992E+02                       1.008770E+02                       3.041103E+02
                            29.5200                       1.220969E-07                       3.264457E-05                       1.007480E+02                       3.039992E+02                       1.008905E+02                       3.041220E+02
