                   Degree                 Q1[m3/s]                 Q2[m3/s]                Q3c[m3/s]                Q3s[m3/s]                 Q4[m3/s]                Q5a[m3/s]                Q5b[m3/s]                Q6c[m3/s]                Q6s[m3/s]                 Q7[m3/s]                 Q8[m3/s]                Q9a[m3/s]                Q9b[m3/s]
                   9.5400             1.620156E-06             2.867489E-07             1.575066E-06             4.507984E-08             1.775477E-08             1.057691E-07             1.456921E-06             1.067091E-11             1.724524E-13             1.333408E-06            -1.465095E-07            -3.211273E-07             8.657707E-07
                   9.7200             1.620150E-06             2.867448E-07             1.574204E-06             4.593520E-08             1.775495E-08             1.057709E-07             1.456921E-06             1.066555E-11             1.760053E-13             1.333406E-06            -1.465082E-07            -3.211267E-07             8.657707E-07
                   9.9000             1.620144E-06             2.867406E-07             1.573342E-06             4.679122E-08             1.775513E-08             1.057727E-07             1.456921E-06             1.066016E-11             1.795982E-13             1.333404E-06            -1.465069E-07            -3.211260E-07             8.657707E-07
                  10.0800             1.620138E-06             2.867365E-07             1.572479E-06             4.764791E-08             1.775530E-08             1.057745E-07             1.456921E-06             1.065472E-11             1.832335E-13             1.333402E-06            -1.465056E-07            -3.211254E-07             8.657707E-07
                  10.2600             1.620132E-06             2.867323E-07             1.571616E-06             4.850533E-08             1.775547E-08             1.057763E-07             1.456921E-06             1.064925E-11             1.869137E-13             1.333400E-06            -1.465042E-07            -3.211248E-07             8.657707E-07
                  10.4400             1.620126E-06             2.867281E-07             1.570752E-06             4.936351E-08             1.775563E-08             1.057780E-07             1.456921E-06             1.064374E-11             1.906411E-13             1.333398E-06            -1.465029E-07            -3.211243E-07             8.657707E-07
                  10.6200             1.620120E-06             2.867239E-07             1.569886E-06             5.022250E-08             1.775578E-08             1.057798E-07             1.456921E-06             1.063819E-11             1.944183E-13             1.333396E-06            -1.465015E-07            -3.211238E-07             8.657707E-07
                  10.8000             1.620114E-06             2.867197E-07             1.569021E-06             5.108233E-08             1.775593E-08             1.057815E-07             1.456921E-06             1.063260E-11             1.982476E-13             1.333394E-06            -1.465001E-07            -3.211233E-07             8.657707E-07
                  10.9800             1.620108E-06             2.867154E-07             1.568154E-06             5.194304E-08             1.775607E-08             1.057833E-07             1.456921E-06             1.062696E-11             2.021316E-13             1.333392E-06            -1.464986E-07            -3.211228E-07             8.657707E-07
                  11.1600             1.620101E-06             2.867112E-07             1.567286E-06             5.280468E-08             1.775620E-08             1.057850E-07             1.456921E-06             1.062127E-11             2.060725E-13             1.333390E-06            -1.464972E-07            -3.211224E-07             8.657707E-07
                  11.3400             1.620095E-06             2.867069E-07             1.566417E-06             5.366727E-08             1.775633E-08             1.057867E-07             1.456921E-06             1.061554E-11             2.100727E-13             1.333388E-06            -1.464957E-07            -3.211221E-07             8.657707E-07
                  11.5200             1.620089E-06             2.867026E-07             1.565548E-06             5.453086E-08             1.775645E-08             1.057884E-07             1.456921E-06             1.060975E-11             2.141347E-13             1.333387E-06            -1.464942E-07            -3.211218E-07             8.657707E-07
                  11.7000             1.620083E-06             2.866982E-07             1.564677E-06             5.539549E-08             1.775656E-08             1.057900E-07             1.456921E-06             1.060392E-11             2.182607E-13             1.333385E-06            -1.464927E-07            -3.211215E-07             8.657707E-07
                  11.8800             1.620077E-06             2.866939E-07             1.563805E-06             5.626119E-08             1.775667E-08             1.057917E-07             1.456921E-06             1.059803E-11             2.224530E-13             1.333383E-06            -1.464912E-07            -3.211213E-07             8.657707E-07
                  12.0600             1.620071E-06             2.866895E-07             1.562932E-06             5.712800E-08             1.775676E-08             1.057933E-07             1.456921E-06             1.059208E-11             2.267137E-13             1.333381E-06            -1.464896E-07            -3.211211E-07             8.657707E-07
                  12.2400             1.620065E-06             2.866851E-07             1.562058E-06             5.799595E-08             1.775685E-08             1.057949E-07             1.456921E-06             1.058608E-11             2.310450E-13             1.333380E-06            -1.464880E-07            -3.211209E-07             8.657707E-07
                  12.4200             1.620059E-06             2.866807E-07             1.561183E-06             5.886507E-08             1.775693E-08             1.057965E-07             1.456921E-06             1.058002E-11             2.354489E-13             1.333378E-06            -1.464864E-07            -3.211209E-07             8.657707E-07
                  12.6000             1.620053E-06             2.866763E-07             1.560306E-06             5.973540E-08             1.775700E-08             1.057981E-07             1.456921E-06             1.057389E-11             2.399275E-13             1.333376E-06            -1.464848E-07            -3.211208E-07             8.657707E-07
                  12.7800             1.620046E-06             2.866718E-07             1.559429E-06             6.060697E-08             1.775706E-08             1.057997E-07             1.456921E-06             1.056771E-11             2.444825E-13             1.333375E-06            -1.464831E-07            -3.211209E-07             8.657707E-07
                  12.9600             1.620040E-06             2.866673E-07             1.558550E-06             6.147980E-08             1.775711E-08             1.058013E-07             1.456921E-06             1.056146E-11             2.491157E-13             1.333373E-06            -1.464814E-07            -3.211209E-07             8.657707E-07
                  13.1400             1.620034E-06             2.866628E-07             1.557670E-06             6.235393E-08             1.775716E-08             1.058028E-07             1.456921E-06             1.055514E-11             2.538289E-13             1.333371E-06            -1.464797E-07            -3.211211E-07             8.657707E-07
                  13.3200             1.620028E-06             2.866582E-07             1.556788E-06             6.322937E-08             1.775719E-08             1.058043E-07             1.456921E-06             1.054876E-11             2.586236E-13             1.333370E-06            -1.464780E-07            -3.211213E-07             8.657707E-07
                  13.5000             1.620022E-06             2.866536E-07             1.555905E-06             6.410615E-08             1.775721E-08             1.058058E-07             1.456921E-06             1.054231E-11             2.635013E-13             1.333368E-06            -1.464762E-07            -3.211215E-07             8.657707E-07
                  13.6800             1.620016E-06             2.866490E-07             1.555021E-06             6.498430E-08             1.775722E-08             1.058073E-07             1.456921E-06             1.053579E-11             2.684632E-13             1.333367E-06            -1.464744E-07            -3.211219E-07             8.657707E-07
                  13.8600             1.620010E-06             2.866443E-07             1.554135E-06             6.586382E-08             1.775722E-08             1.058088E-07             1.456921E-06             1.052920E-11             2.735107E-13             1.333365E-06            -1.464725E-07            -3.211222E-07             8.657707E-07
                  14.0400             1.620004E-06             2.866396E-07             1.553248E-06             6.674474E-08             1.775721E-08             1.058102E-07             1.456921E-06             1.052254E-11             2.786447E-13             1.333364E-06            -1.464706E-07            -3.211227E-07             8.657707E-07
                  14.2200             1.619998E-06             2.866349E-07             1.552360E-06             6.762708E-08             1.775719E-08             1.058116E-07             1.456921E-06             1.051580E-11             2.838662E-13             1.333363E-06            -1.464687E-07            -3.211232E-07             8.657707E-07
