                             Degree                     Suc.Volume[m3]                    Comp.Volume[m3]               I.Suct.Press._1[kPa]                    I.Suct.Temp.[K]                 I.Disc.Press.[kPa]                    I.Disc.Temp.[K]
                            23.9400                       8.276698E-08                       3.272590E-05                       1.010003E+02                       3.036732E+02                       1.007912E+02                       3.034934E+02
                            24.1200                       8.373520E-08                       3.272364E-05                       1.010003E+02                       3.036732E+02                       1.008009E+02                       3.035018E+02
                            24.3000                       8.472189E-08                       3.272136E-05                       1.010003E+02                       3.036732E+02                       1.008108E+02                       3.035103E+02
                            24.4800                       8.572722E-08                       3.271904E-05                       1.010003E+02                       3.036732E+02                       1.008207E+02                       3.035189E+02
                            24.6600                       8.675134E-08                       3.271670E-05                       1.010003E+02                       3.036732E+02                       1.008308E+02                       3.035275E+02
                            24.8400                       8.779442E-08                       3.271434E-05                       1.010003E+02                       3.036732E+02                       1.008411E+02                       3.035363E+02
                            25.0200                       8.885663E-08                       3.271194E-05                       1.010003E+02                       3.036732E+02                       1.008514E+02                       3.035452E+02
                            25.2000                       8.993812E-08                       3.270952E-05                       1.010003E+02                       3.036732E+02                       1.008619E+02                       3.035542E+02
                            25.3800                       9.103906E-08                       3.270707E-05                       1.010003E+02                       3.036732E+02                       1.008725E+02                       3.035634E+02
                            25.5600                       9.215962E-08                       3.270459E-05                       1.010003E+02                       3.036732E+02                       1.008832E+02                       3.035726E+02
                            25.7400                       9.329994E-08                       3.270208E-05                       1.010003E+02                       3.036732E+02                       1.008940E+02                       3.035819E+02
                            25.9200                       9.446020E-08                       3.269954E-05                       1.010003E+02                       3.036732E+02                       1.009050E+02                       3.035913E+02
                            26.1000                       9.564055E-08                       3.269698E-05                       1.010003E+02                       3.036732E+02                       1.009161E+02                       3.036009E+02
                            26.2800                       9.684115E-08                       3.269438E-05                       1.010003E+02                       3.036732E+02                       1.009273E+02                       3.036105E+02
                            26.4600                       9.806217E-08                       3.269176E-05                       1.010003E+02                       3.036732E+02                       1.009387E+02                       3.036203E+02
                            26.6400                       9.930377E-08                       3.268910E-05                       1.010003E+02                       3.036732E+02                       1.009501E+02                       3.036302E+02
                            26.8200                       1.005661E-07                       3.268642E-05                       1.010003E+02                       3.036732E+02                       1.009618E+02                       3.036401E+02
                            27.0000                       1.018493E-07                       3.268371E-05                       1.010003E+02                       3.036732E+02                       1.009735E+02                       3.036502E+02
                            27.1800                       1.031536E-07                       3.268097E-05                       1.010003E+02                       3.036732E+02                       1.009854E+02                       3.036604E+02
                            27.3600                       1.044791E-07                       3.267820E-05                       1.010003E+02                       3.036732E+02                       1.009974E+02                       3.036707E+02
                            27.5400                       1.058259E-07                       3.267540E-05                       1.010003E+02                       3.036732E+02                       1.010095E+02                       3.036812E+02
                            27.7200                       1.071943E-07                       3.267256E-05                       1.010003E+02                       3.036732E+02                       1.010218E+02                       3.036917E+02
                            27.9000                       1.085844E-07                       3.266970E-05                       1.010003E+02                       3.036732E+02                       1.010342E+02                       3.037024E+02
                            28.0800                       1.099963E-07                       3.266681E-05                       1.010003E+02                       3.036732E+02                       1.010467E+02                       3.037131E+02
                            28.2600                       1.114302E-07                       3.266389E-05                       1.010003E+02                       3.036732E+02                       1.010594E+02                       3.037240E+02
                            28.4400                       1.128863E-07                       3.266094E-05                       1.010003E+02                       3.036732E+02                       1.010722E+02                       3.037350E+02
                            28.6200                       1.143647E-07                       3.265795E-05                       1.010003E+02                       3.036732E+02                       1.010851E+02                       3.037461E+02
                            28.8000                       1.158656E-07                       3.265494E-05                       1.010003E+02                       3.036732E+02                       1.010982E+02                       3.037574E+02
                            28.9800                       1.173891E-07                       3.265189E-05                       1.010003E+02                       3.036732E+02                       1.011114E+02                       3.037687E+02
                            29.1600                       1.189353E-07                       3.264881E-05                       1.010003E+02                       3.036732E+02                       1.011247E+02                       3.037802E+02
                            29.3400                       1.205046E-07                       3.264571E-05                       1.010003E+02                       3.036732E+02                       1.011382E+02                       3.037918E+02
                            29.5200                       1.220969E-07                       3.264257E-05                       1.010003E+02                       3.036732E+02                       1.011519E+02                       3.038035E+02
                            29.7000                       1.237124E-07                       3.263939E-05                       1.010003E+02                       3.036732E+02                       1.011656E+02                       3.038153E+02
                            29.8800                       1.253514E-07                       3.263619E-05                       1.010003E+02                       3.036732E+02                       1.011795E+02                       3.038272E+02
                            30.0600                       1.270139E-07                       3.263296E-05                       1.010003E+02                       3.036732E+02                       1.011936E+02                       3.038393E+02
                            30.2400                       1.287001E-07                       3.262969E-05                       1.010003E+02                       3.036732E+02                       1.012078E+02                       3.038515E+02
                            30.4200                       1.304101E-07                       3.262639E-05                       1.010003E+02                       3.036732E+02                       1.012221E+02                       3.038638E+02
                            30.6000                       1.321442E-07                       3.262306E-05                       1.010003E+02                       3.036732E+02                       1.012366E+02                       3.038762E+02
                            30.7800                       1.339025E-07                       3.261970E-05                       1.010003E+02                       3.036732E+02                       1.012512E+02                       3.038887E+02
                            30.9600                       1.356851E-07                       3.261630E-05                       1.010003E+02                       3.036732E+02                       1.012660E+02                       3.039014E+02
                            31.1400                       1.374921E-07                       3.261287E-05                       1.010003E+02                       3.036732E+02                       1.012809E+02                       3.039142E+02
                            31.3200                       1.393238E-07                       3.260941E-05                       1.010003E+02                       3.036732E+02                       1.012960E+02                       3.039271E+02
                            31.5000                       1.411802E-07                       3.260592E-05                       1.010003E+02                       3.036732E+02                       1.013112E+02                       3.039402E+02
                            31.6800                       1.430616E-07                       3.260239E-05                       1.010003E+02                       3.036732E+02                       1.013266E+02                       3.039533E+02
                            31.8600                       1.449680E-07                       3.259883E-05                       1.010003E+02                       3.036732E+02                       1.013421E+02                       3.039666E+02
                            32.0400                       1.468997E-07                       3.259524E-05                       1.010003E+02                       3.036732E+02                       1.013577E+02                       3.039801E+02
                            32.2200                       1.488567E-07                       3.259161E-05                       1.010003E+02                       3.036732E+02                       1.013735E+02                       3.039936E+02
                            32.4000                       1.508392E-07                       3.258795E-05                       1.010003E+02                       3.036732E+02                       1.013895E+02                       3.040073E+02
                            32.5800                       1.528475E-07                       3.258425E-05                       1.010003E+02                       3.036732E+02                       1.014056E+02                       3.040211E+02
